Taxon_name_all,Taxon_name_short,Taxon_name_id,Peptide_count
k__Bacteria,k__Bacteria,k1,1757
k__Bacteria|p__Actinomycetota,p__Actinomycetota,p1,79
k__Bacteria|p__Bacillota,p__Bacillota,p2,728
k__Bacteria|p__Bacteroidota,p__Bacteroidota,p3,360
k__Bacteria|p__candidate_division_Zixibacteria,p__candidate_division_Zixibacteria,p4,1
k__Bacteria|p__Actinomycetota|c__Actinomycetes,c__Actinomycetes,c1,35
k__Bacteria|p__Actinomycetota|c__Coriobacteriia,c__Coriobacteriia,c2,39
k__Bacteria|p__Bacillota|c__Clostridia,c__Clostridia,c3,605
k__Bacteria|p__Bacillota|c__Negativicutes,c__Negativicutes,c4,17
k__Bacteria|p__Bacteroidota|c__Bacteroidia,c__Bacteroidia,c5,336
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales,o__Coriobacteriales,o1,35
k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales,o__Lactobacillales,o2,3
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales,o__Eubacteriales,o3,576
k__Bacteria|p__Bacillota|c__Erysipelotrichia|o__Erysipelotrichales,o__Erysipelotrichales,o4,4
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales,o__Bacteroidales,o5,324
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales,o__Enterobacterales,o6,2
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales,o__Saccharomycetales,o7,1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae,f__Bifidobacteriaceae,f1,30
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae,f__Atopobiaceae,f2,3
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae,f__Coriobacteriaceae,f3,22
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae,f__Eggerthellaceae,f4,3
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Clostridiaceae,f__Clostridiaceae,f5,10
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae,f__Lachnospiraceae,f6,98
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae,f__Oscillospiraceae,f7,89
k__Bacteria|p__Bacillota|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae,f__Coprobacillaceae,f8,2
k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae,f__Acidaminococcaceae,f9,4
k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae,f__Veillonellaceae,f10,8
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,f__Bacteroidaceae,f11,91
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae,f__Odoribacteraceae,f12,2
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,f__Prevotellaceae,f13,82
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Cryomorphaceae,f__Cryomorphaceae,f14,1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,g__Bifidobacterium,g1,19
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella,g__Olsenella,g2,1
