COGnum	F3NL2582	F3NL0496	F3NL1002	F2NL4627	F2NL2504
COG4934	4817.75	6327.88	6504.33	5450.93	3745.24
KOG0027	NA	36783.2	25849	56472.9	47113.2
KOG0030	38365.5	30355.3	23702.4	18955.4	9139.42
KOG0034	NA	NA	4391.43	5473.62	8312.25
KOG0035	64136.5	63893.4	27302.2	26911.3	31324.26
KOG0037	NA	NA	NA	NA	16352.4
KOG0045	4973.91	12997.7	5606.38	7386.35	12296.1
KOG0052	20811	16027.7	11577.3	13231.4	18346.2
KOG0078	NA	8474.67	NA	NA	8364.63
KOG0085	NA	10382.3	NA	9773.09	15166.7
KOG0087	7760.21	14303.2	7880.89	8883.74	12287.7
KOG0092	28831.3	19775.8	NA	NA	30574.9
KOG0101	6605.29	8650.35	8635.91	NA	4119.37
KOG0161	264439	388406.9	177728.7	211150.7	163308.8
KOG0382	12359	15553.4	19493.1	18853.5	46692.26
KOG0395	NA	9704.81	NA	11042.5	6191.1
KOG0407	12621	NA	6247.86	NA	4487.97
KOG0441	NA	NA	NA	9079.13	10156
KOG0443	5078.39	4930.19	5740.89	5533.57	9281.94
KOG0471	10634	23325.8	36943.1	11711.9	56123.4
KOG0488	18190	43049.7	33990.1	12846.9	72200.1
KOG0518	4431.67	NA	2821.68	5604.72	NA
KOG0613	17914.1	5875.5	19350.8	22791.1	1402.41
KOG0621	1461.94	5353.55	2724.91	3039.69	5050.59
KOG0657	730757	404529.6	217045.7	276642.7	248068.7
KOG0676	NA	14988.03	12566.99	6087.22	11098.31
KOG0749	6551.93	8467.13	10245.3	13018.6	24707.8
KOG0806	3482.92	28095.8	3091.43	9160.1	70315.8
KOG0819	306582.01	476796.19	309649.63	541661.72	841614.45
KOG0865	NA	NA	NA	NA	6658.69
KOG0877	108605	NA	115033	13159.8	NA
KOG0888	NA	5050.07	5699.95	8079.15	100204.53
KOG0918	37889.7	34803.8	26132.2	30121.7	23935.1
KOG1003	13265.6	27416.1	NA	NA	NA
KOG1046	57845.2	95458	256449	165490	608343
KOG1065	242475.64	275926.5	186930.9	106280.9	169380.71
KOG1097	36215.4	34431.1	24175	NA	24628.1
KOG1192	NA	NA	NA	NA	3807.74
KOG1205	NA	NA	NA	NA	19042.2
KOG1216	1600293.63	1675104	1453830.9	1391221.9	1466844.27
KOG1217	6244.43	NA	NA	NA	NA
KOG1327	NA	NA	NA	NA	7744.89
KOG1353	56061.7	141698	57138.1	95806.2	36014.7
KOG1366	6979.2	7678.38	12001.8	8661.77	6871.37
KOG1375	NA	NA	NA	NA	7011.79
KOG1376	NA	NA	NA	NA	5728.6
KOG1388	7170.56	10399.9	12641.3	6942.07	7405.64
KOG1426	NA	8509.2	NA	NA	4316.76
KOG1439	NA	3650.18	NA	NA	2605.16
KOG1495	NA	NA	NA	NA	2664.47
KOG1516	72556.4	54827.2	55851.4	8922.61	254855
KOG1526	6971.33	4648.76	4696.94	3846.94	6274.678
KOG1557	10554.2	10215.7	NA	8736.73	5250.53
KOG1559	3963.08	4779.69	3330.4	10013.1	NA
KOG1643	47142.1	23599.2	44449.3	30994.1	49803.5
KOG1693	8629.18	NA	5896.99	NA	4214.68
KOG1703	9467.66	10105.8	NA	7348.28	14720.1
KOG1704	77379.1	193294	99504.2	42277.4	89422.6
KOG1735	NA	8875.18	NA	5924.41	2297.78
KOG1744	7705.58	12034.9	NA	5135.63	2980.94
KOG1745	1348460	1058250	598080	480359	536406
KOG1756	1348460	1058250	598080	480359	536406
KOG1959	13193.8	18532.3	12085	14548.7	11982.1
KOG2099	63217.4	63617.5	51045.3	53503.8	29278.2
KOG2100	100198	125473	102711	70927.4	100881
KOG2177	NA	6655.52	3989.85	4862.63	6134.79
KOG2193	3614.26	NA	33845.9	25509.7	NA
KOG2195	21465.83	24956.44	23165.05	25062.7	34338.15
KOG2212	292711	1780655.75	2207950	2679873.8	2540440
KOG2220	NA	15181.7	7425.39	NA	15508.2
KOG2258	11335.8	10268.3	8428.31	NA	10562.9
KOG2275	16051	16610.7	32669	9895.78	37248.9
KOG2322	NA	8752.87	NA	NA	13982.6
KOG2323	20091.4	19099.6	8720.24	8420.31	7616.78
KOG2332	258246.8	262207.4	71171.4	140738.37	41927.7
KOG2392	513648	957321.5	686199.4	386635.6	631507.11
KOG2408	90191.3	397688.4	274633	609571.4	163141.7
KOG2413	573763	412728	447675	683020	1870290
KOG2456	3377.06	NA	8041.47	4788.8	3999.93
KOG2529	NA	NA	NA	NA	2139.38
KOG2597	NA	NA	19428.3	8782.14	NA
KOG2645	231682.1	250375.9	384110.3	252954.2	306437.2
KOG2650	3049500.2	1048478.1	5626762.9	13243388	14822310.2
KOG2657	6099.96	9619.84	7471.87	3546.04	5560.81
KOG2870	1858.08	NA	NA	2788.98	2099.42
KOG3006	NA	36126	35414.4	28365.9	22494.5
KOG3126	24412	16033.07	15356.21	19668.11	11571.78
KOG3283	12526.1	13078	NA	NA	NA
KOG3340	2304.01	NA	NA	NA	NA
KOG3378	596584	112626.21	54218.7	139244.7	104523
KOG3467	1348460	1058250	598080	480359	536406
KOG3528	NA	NA	NA	NA	6798.03
KOG3529	28186.4	68099.2	20170	33561.4	46281.4
KOG3544	44930.9	24750.8	21730.8	46567.2	NA
KOG3545	12587	12246.7	14319.7	23678.6	10104
KOG3557	NA	15195.1	NA	NA	45287.6
KOG3581	96718.3	117775	107584	82826.9	50507.6
KOG3587	39153.7	45573.2	51508.4	45443.8	52078.8
KOG3594	486877.5	595119.4	624619.8	830067.8	191171.8
KOG3624	73862	136638	137145	121027	298587
KOG3627	11156321.62	14188621.9	12076695.77	12791062.81	14445579.09
KOG3690	145088.8	80278	70540.5	195683	136906.16
KOG3714	183885.2	768653.8	339309.2	1102506.8	143176.9
KOG3770	12776.2	17689.1	NA	8132.75	29041.6
KOG3774	10472.8	23391.8	15048.6	11959.9	12024.5
KOG3776	NA	7490.68	10458.2	11464.8	3486.07
KOG3927	8309.33	6428.57	13722.2	NA	19354.9
KOG3977	39370.1	63265.9	47444.4	41678.2	24864.9
KOG3998	28919.5	13189.3	7591.06	5189.21	8359.06
KOG4087	606804.5	601545.48	922724.7	483262.9	736151.85
KOG4126	553596	931284	698835	686287	2888946.15
KOG4127	166415	218096	181447	121096	403711
KOG4229	NA	NA	NA	NA	7272.34
KOG4296	NA	3452.45	NA	4421.12	22866.7
KOG4297	30531.12	84199.67	72879.4	93180.96	159577.2
KOG4419	5579.47	8622.65	9447.67	10921.1	6960.08
KOG4475	17914.1	5875.5	19350.8	22791.1	1402.41
arCOG07796	1505.73	6066.72	NA	NA	NA
