COGnum	b14_10	b14_20
COG4934	6504.33	5450.93
KOG0027	25849	56472.9
KOG0030	23702.4	18955.4
KOG0034	4391.43	5473.62
KOG0035	27302.2	26911.3
KOG0045	5606.38	7386.35
KOG0052	11577.3	13231.4
KOG0085	NA	9773.09
KOG0087	7880.89	8883.74
KOG0101	8635.91	NA
KOG0161	177728.7	211150.7
KOG0382	19493.1	18853.5
KOG0395	NA	11042.5
KOG0407	6247.86	NA
KOG0441	NA	9079.13
KOG0443	5740.89	5533.57
KOG0471	36943.1	11711.9
KOG0488	33990.1	12846.9
KOG0518	2821.68	5604.72
KOG0613	19350.8	22791.1
KOG0621	2724.91	3039.69
KOG0657	217045.7	276642.7
KOG0676	12566.99	6087.22
KOG0749	10245.3	13018.6
KOG0806	3091.43	9160.1
KOG0819	309649.63	541661.72
KOG0877	115033	13159.8
KOG0888	5699.95	8079.15
KOG0918	26132.2	30121.7
KOG1046	256449	165490
KOG1065	186930.9	106280.9
KOG1097	24175	NA
KOG1216	1453830.9	1391221.9
KOG1353	57138.1	95806.2
KOG1366	12001.8	8661.77
KOG1388	12641.3	6942.07
KOG1516	55851.4	8922.61
KOG1526	4696.94	3846.94
KOG1557	NA	8736.73
KOG1559	3330.4	10013.1
KOG1643	44449.3	30994.1
KOG1693	5896.99	NA
KOG1703	NA	7348.28
KOG1704	99504.2	42277.4
KOG1735	NA	5924.41
KOG1744	NA	5135.63
KOG1745	598080	480359
KOG1756	598080	480359
KOG1959	12085	14548.7
KOG2099	51045.3	53503.8
KOG2100	102711	70927.4
KOG2177	3989.85	4862.63
KOG2193	33845.9	25509.7
KOG2195	23165.05	25062.7
KOG2212	2207950	2679873.8
KOG2220	7425.39	NA
KOG2258	8428.31	NA
KOG2275	32669	9895.78
KOG2323	8720.24	8420.31
KOG2332	71171.4	140738.37
KOG2392	686199.4	386635.6
KOG2408	274633	609571.4
KOG2413	447675	683020
KOG2456	8041.47	4788.8
KOG2597	19428.3	8782.14
KOG2645	384110.3	252954.2
KOG2650	5626762.9	13243388
KOG2657	7471.87	3546.04
KOG2870	NA	2788.98
KOG3006	35414.4	28365.9
KOG3126	15356.21	19668.11
KOG3378	54218.7	139244.7
KOG3467	598080	480359
KOG3529	20170	33561.4
KOG3544	21730.8	46567.2
KOG3545	14319.7	23678.6
KOG3581	107584	82826.9
KOG3587	51508.4	45443.8
KOG3594	624619.8	830067.8
KOG3624	137145	121027
KOG3627	12076695.77	12791062.81
KOG3690	70540.5	195683
KOG3714	339309.2	1102506.8
KOG3770	NA	8132.75
KOG3774	15048.6	11959.9
KOG3776	10458.2	11464.8
KOG3927	13722.2	NA
KOG3977	47444.4	41678.2
KOG3998	7591.06	5189.21
KOG4087	922724.7	483262.9
KOG4126	698835	686287
KOG4127	181447	121096
KOG4296	NA	4421.12
KOG4297	72879.4	93180.96
KOG4419	9447.67	10921.1
KOG4475	19350.8	22791.1
