COGnum	b14_24
COG4934	5682.11
KOG0027	37480
KOG0030	32946.6
KOG0034	7362.11
KOG0035	50866.1
KOG0037	11530.6
KOG0045	13210.2
KOG0052	15084.1
KOG0078	6829.54
KOG0085	12695.2
KOG0087	10280.4
KOG0092	30679.1
KOG0101	20196
KOG0161	322568.51
KOG0164	14266.6
KOG0382	15036.8
KOG0395	7652.86
KOG0407	8130.46
KOG0441	11024.1
KOG0443	8486.66
KOG0471	17616.1
KOG0488	31528.9
KOG0518	3422.88
KOG0613	20679.9
KOG0621	3461.26
KOG0657	396663.4
KOG0676	13856.25
KOG0749	12615.4
KOG0806	21057.8
KOG0819	507255.69
KOG0877	12349.4
KOG0888	70296.99
KOG0918	38352.5
KOG1003	17898.4
KOG1046	678814
KOG1065	235236
KOG1097	33375
KOG1192	6273.02
KOG1216	2158475.3
KOG1327	7176.19
KOG1353	108753
KOG1366	12186.4
KOG1375	11198.5
KOG1388	9036.08
KOG1426	4402.26
KOG1516	127013
KOG1526	8603.82
KOG1557	15125.9
KOG1559	3516.76
KOG1643	62008.4
KOG1703	8402.7
KOG1704	95612.8
KOG1735	5710.88
KOG1744	9119.07
KOG1745	1122130
KOG1756	1122130
KOG1959	17513.1
KOG2099	69673
KOG2100	123136
KOG2177	6030.94
KOG2193	6256.4
KOG2195	30472.17
KOG2212	3849360
KOG2220	13691.8
KOG2258	13092.1
KOG2275	28470
KOG2322	9369.57
KOG2323	22701.2
KOG2332	156266.9
KOG2392	850203.54
KOG2408	321766.8
KOG2413	853708
KOG2456	5291.87
KOG2529	2631.69
KOG2645	401293.6
KOG2650	11455618.1
KOG2657	5101.44
KOG2870	2002.9
KOG3006	34722
KOG3126	23739.4
KOG3283	27186.5
KOG3378	137955.9
KOG3467	1122130
KOG3528	3550.84
KOG3529	44553.3
KOG3544	36026.9
KOG3545	12886.3
KOG3557	35161.5
KOG3581	115814
KOG3587	75548.9
KOG3594	495466.7
KOG3624	155307
KOG3627	21875198.92
KOG3690	202535.5
KOG3714	414252.5
KOG3770	19354.1
KOG3774	16163.4
KOG3776	8899.01
KOG3927	17023.9
KOG3977	43124.9
KOG3998	7226.9
KOG4087	753888.46
KOG4126	1482882.5
KOG4127	302458
KOG4296	8893.77
KOG4297	237328
KOG4419	7457
KOG4475	20679.9
