COGnum	b14_10	b14_20
COG0008	40700.2	62093.3
COG0012	4357.23	21821.4
COG0013	52056.4	71729.9
COG0015	39251.54	29132.84
COG0016	33044.01	35849.9
COG0017	128123.9	279556.7
COG0018	20205.1	NA
COG0028	25906	17552.5
COG0035	61275.8	NA
COG0036	NA	16029.6
COG0039	61443	64549.2
COG0044	NA	112864
COG0046	257132.1	265952.9
COG0047	257132.1	265952.9
COG0048	1048131	2149893
COG0049	293051.04	515503
COG0050	5394336.4	5480726.26
COG0051	9054.82	11278.2
COG0052	89204.7	164284.3
COG0055	283723.98	514163.07
COG0056	221154.3	210565.8
COG0057	180142.7	609114.78
COG0058	126155.2	228438.2
COG0059	256464.09	205027.3
COG0060	5648.02	7465.75
COG0065	NA	23549.9
COG0078	59106.5	36417.1
COG0080	784569.4	549682.87
COG0081	133817.8	367384.2
COG0085	237546.48	537990.9
COG0086	595569.3	597962.2
COG0087	224191	218157.9
COG0088	118143.6	100534
COG0090	545018.42	1106358.4
COG0091	1548580	650327
COG0092	418919	300276
COG0093	137528	NA
COG0094	521270.16	267890.3
COG0096	1016112.3	552192.32
COG0097	121321	51845.9
COG0098	461752.7	783339
COG0099	NA	48322.6
COG0100	34995.8	42067.5
COG0102	124852.4	407305
COG0103	17338.1	77170.7
COG0104	48915.52	45390
COG0105	NA	9976.4
COG0115	175354.8	102215.2
COG0124	20893.1	20869.2
COG0126	530756.64	334197.1
COG0129	12162.1	NA
COG0136	162058.6	78337
COG0137	21940.27	22640.9
COG0138	72796.5	68494.8
COG0139	3642.42	6848.06
COG0140	12378.36	6848.06
COG0148	79033.3	19384.8
COG0149	190423.55	282467.92
COG0150	41724.52	66315.3
COG0151	8771.71	20073.2
COG0152	124120.8	114030.2
COG0153	54242.9	53697.1
COG0156	14502.34	11228.2
COG0157	NA	15778.06
COG0162	NA	27406.4
COG0165	7884.33	7444.92
COG0166	107245.6	150424
COG0172	144559.7	200245.6
COG0173	8559.96	73359.2
COG0176	123625.8	143536.9
COG0180	NA	12392.9
COG0183	13589.6	16071.6
COG0185	80105.4	199034.5
COG0186	68404.8	27670.6
COG0187	NA	41774
COG0188	10637.8	11550.4
COG0190	36242.6	22165.8
COG0191	732502.4	1151286.4
COG0192	64097.9	39844.2
COG0195	NA	61498.9
COG0197	14819.8	101263
COG0200	172102.15	355704.5
COG0201	29641.95	35229.3
COG0202	101412	121376
COG0205	519579.5	577211.63
COG0206	121418	131543
COG0222	325257.3	238541.6
COG0231	13504.8	24502.9
COG0233	21557.3	NA
COG0235	18509.2	NA
COG0236	27540	NA
COG0242	11389.9	9986.93
COG0246	47739.6	59841.3
COG0250	7741.5	4102.13
COG0254	56845.3	NA
COG0255	394565	191442.74
COG0256	44140.3	40238.46
COG0261	35627.1	NA
COG0264	259047.76	15387.25
COG0277	7081.56	11468.7
COG0280	552437.45	378069.5
COG0281	83235.74	69898.8
COG0282	207527.61	324179.7
COG0290	NA	4773.69
COG0295	NA	8149.7
