COGnum	b14_27
COG0008	18812.6
COG0013	29181.4
COG0017	166871.58
COG0018	15962.7
COG0035	41589.8
COG0039	131170
COG0044	48169.9
COG0046	84683.7
COG0047	84683.7
COG0048	752766
COG0049	191232.8
COG0050	3937647.4
COG0051	30145.6
COG0052	35874.6
COG0055	513252
COG0056	300926.5
COG0057	538436.41
COG0058	59115.86
COG0059	168939
COG0060	4013.05
COG0073	9724.74
COG0078	23597.3
COG0080	292568
COG0081	172288.2
COG0085	410886.8
COG0086	405506.24
COG0087	181325
COG0088	45090.3
COG0089	1462.28
COG0090	366404.6
COG0091	416328
COG0092	319176
COG0093	42872.3
COG0094	153744.6
COG0096	389368.9
COG0098	114548.8
COG0099	25687.6
COG0100	92356.5
COG0102	25479.8
COG0103	37641.8
COG0104	15439.3
COG0115	117641.58
COG0124	25288.4
COG0126	119503.75
COG0136	81274.4
COG0137	21254.5
COG0138	53220.9
COG0140	6245.15
COG0143	9724.74
COG0148	107033.9
COG0149	179658.67
COG0150	29041.3
COG0151	31303.5
COG0152	56679.95
COG0153	28347.68
COG0156	12157.1
COG0157	7775.52
COG0166	75372.5
COG0172	118768.8
COG0173	31924
COG0176	118696.3
COG0183	9567.76
COG0185	91426.2
COG0186	4725.51
COG0191	800936.8
COG0192	36380.4
COG0195	20331
COG0197	18206.5
COG0198	23494.5
COG0200	223397.7
COG0201	42833.9
COG0202	125649
COG0205	366864.75
COG0206	173212
COG0209	17241.3
COG0222	411247.2
COG0231	8312.59
COG0233	12880.7
COG0236	79443.4
COG0242	5703.09
COG0246	48573.4
COG0254	44909.1
COG0255	65030.2
COG0256	26914.2
COG0261	6026.06
COG0280	268741.9
COG0281	67342.2
COG0282	218547.51
COG0326	5296.99
COG0330	48555.56
COG0334	2476801.5
COG0335	59681.9
COG0348	62357.8
COG0351	10632.4
COG0363	18034.8
COG0366	50248.91
COG0367	24431.5
COG0396	10557
COG0422	10632.4
COG0423	427145.4
COG0426	73548.9
COG0441	93399.52
COG0443	835059.6
COG0448	46922.4
COG0457	11235.1
COG0458	95263.32
COG0459	915003.55
COG0460	33540.5
COG0468	20302.9
COG0479	92880.4
COG0480	523009.97
COG0488	10653
COG0493	105162.7
COG0495	41998.4
COG0504	17388.6
COG0514	8133.94
COG0515	20153.1
COG0516	565331.6
COG0517	565331.6
COG0519	64580.9
COG0522	111696.4
COG0524	6125.32
COG0527	33540.5
COG0532	15003.9
COG0538	38226.85
COG0539	18559.4
COG0540	68573.5
COG0542	45035.3
COG0544	56935.1
COG0561	11475.5
COG0563	37874.9
COG0574	1940972.7
COG0592	5087.67
COG0595	26494.8
COG0620	22009.6
COG0623	19655.4
COG0629	7599.86
COG0636	17999.1
COG0641	8555.35
COG0652	20092.8
COG0653	97688.3
COG0674	1268177.3
COG0681	11977.7
COG0696	15440.3
COG0698	6166.19
COG0702	11658.4
COG0745	66936.6
COG0760	27814.4
COG0800	8479.26
COG0804	72397.2
COG0822	701944.62
COG0823	23102.2
COG0826	2427.42
COG0828	4073.37
COG0834	8827.82
COG1004	10952.5
COG1012	190641.06
COG1013	1272232.88
COG1014	1268177.3
COG1024	47581.8
COG1028	76210.5
COG1048	28746
COG1053	448198.9
COG1063	53554.8
COG1070	8822.32
COG1077	58186.6
COG1080	1940972.7
COG1082	127638.7
COG1087	40561.9
COG1088	42874.68
COG1089	36154.7
COG1091	18196.5
COG1105	10567.5
COG1109	11785.7
COG1115	18663.7
COG1129	82023.3
COG1132	14693.2
COG1143	98585.6
COG1145	756389.3
COG1156	42156.5
COG1158	6700.9
COG1167	235034
COG1185	154301.9
COG1190	64596.8
COG1196	48824.6
COG1209	104517
COG1236	35485.7
COG1256	31168.3
COG1263	55845
COG1264	55845
COG1274	18349.5
COG1278	21283.5
COG1328	13665.1
COG1344	1271493.4
COG1350	45166.7
COG1360	72956.3
COG1362	117769
COG1395	75658.1
COG1404	10647.4
COG1418	80624.9
COG1454	514788.5
COG1461	4553.89
COG1486	5820.62
COG1506	23102.2
COG1522	6199.77
COG1592	2585620.65
COG1629	58404.08
COG1653	166373.7
COG1702	91033.4
COG1726	174111.03
COG1748	87668.2
COG1749	22260.9
COG1773	442417.9
COG1842	3956.33
COG1853	73548.9
COG1866	518047.02
COG1879	342612
COG1882	1036491.01
COG1883	71170.5
COG1884	66529.7
COG1894	12279.2
COG1898	17311.9
COG1904	84780.4
COG1932	67812.6
COG1960	135208.3
COG2025	2691.05
COG2086	320135.1
COG2120	18034.8
COG2160	10565.6
COG2182	12613.1
COG2235	7133.28
COG2252	1819.59
COG2259	28538.3
COG2368	11235.2
COG2373	41201.6
COG2374	23260.6
COG2407	385942
COG2759	240274.7
COG2805	11498.5
COG2871	145378.2
COG2873	84240.1
COG2885	24129.5
COG3015	19664
COG3023	20138.2
COG3172	34916.7
COG3188	7608.38
COG3203	61864.56
COG3209	34340.4
COG3210	29200.9
COG3264	10533.1
COG3279	4384.88
COG3291	13711.9
COG3363	100186
COG3444	22709.7
COG3488	15599.3
COG3525	31722.9
COG3959	1506.61
COG3968	663431.8
COG3976	62357.8
COG4146	21702.7
COG4154	99058.1
COG4206	19011.8
COG4209	7534.65
COG4577	142189
COG4656	13482.6
COG4659	7807.54
COG4677	23260.6
COG4690	13450.3
COG4716	71700.3
COG4771	364352.75
COG4799	46411.5
COG4822	47637.6
COG5016	150799.02
COG5263	257245.7
COG5492	31082.7
COG5545	32621.8
KOG0001	88901
KOG0804	88901
KOG1353	36105.8
