COGnum	b14_02	b14_21
COG0008	120216	7519.66
COG0012	4862.67	NA
COG0013	37688.5	15160.38
COG0015	6424.39	3320.84
COG0016	36725.9	9696.24
COG0017	187167.5	31257.7
COG0028	7003.93	20609.13
COG0035	23819.9	5230.17
COG0036	8604.56	NA
COG0039	135865.7	158622
COG0044	48604.8	NA
COG0046	152322.8	105043.2
COG0047	152322.8	105043.2
COG0048	1043358	326683
COG0049	476541.2	115517.8
COG0050	3248144.1	3128283.79
COG0051	27451.2	17062.8
COG0052	253404.3	34621
COG0055	492752.4	191742.25
COG0056	141343.8	27856.8
COG0057	672738.14	13717.48
COG0058	221423.6	47314.42
COG0059	195083.4	7791.81
COG0060	NA	2917.86
COG0065	49137.2	NA
COG0073	7899.97	6342.32
COG0078	44563.8	11621
COG0080	205957.3	305552.03
COG0081	533417.4	11423.5
COG0085	686662.2	110799.83
COG0086	499155.9	158668.24
COG0087	186194.5	281595.2
COG0088	5593.36	47854.09
COG0089	NA	10733.8
COG0090	400563.13	139638.19
COG0091	673843	369421
COG0092	343408	172036
COG0093	7725.42	32414.08
COG0094	229506.02	286631.6
COG0096	389116.2	126872.04
COG0097	18086.9	15322.2
COG0098	115995	120416.9
COG0099	24085.7	16745.7
COG0100	11688	NA
COG0102	426062.3	50184.42
COG0103	12118.8	7132.5
COG0104	10303.1	23152.24
COG0105	NA	3577.18
COG0115	134257.6	31128.3
COG0124	20428.1	NA
COG0126	284467.64	113429.88
COG0136	131089.1	45403.1
COG0137	17922.6	NA
COG0138	124064.5	34764.42
COG0141	4894.14	4776.7
COG0143	7899.97	6342.32
COG0148	56054.4	8633.03
COG0149	463935.97	126604.37
COG0150	24010.8	NA
COG0151	23215	3404.79
COG0152	123525.07	35793.3
COG0153	NA	2231.22
COG0156	40624	NA
COG0157	40972.4	9644.47
COG0162	36092	NA
COG0165	5478.95	NA
COG0166	239260.5	78849.59
COG0172	333936.1	38676.3
COG0173	199998.9	9900.08
COG0176	67194.9	32772.48
COG0180	4278.22	9862.42
COG0183	44726.6	3183.53
COG0185	199534.8	48648.9
COG0186	8438.19	7722.04
COG0187	19168.7	9671.52
COG0188	NA	33423.3
COG0190	NA	15859.1
COG0191	3128550.1	383571.43
COG0192	60986.6	17567.4
COG0195	123359	NA
COG0197	99132.5	NA
COG0198	NA	47646.6
COG0200	690824.54	54273.77
COG0201	44520.7	NA
COG0202	122934.7	87909.5
COG0205	633537	88464.32
COG0206	126493	12188.7
COG0222	200195	576683
COG0231	46381.6	10698.1
COG0233	NA	2706.6
COG0235	24284.1	NA
COG0236	12136	43894.8
COG0242	13197.7	7204.87
COG0246	57965.1	44077.5
COG0250	3629.65	NA
COG0254	42439.9	NA
COG0255	70535.9	70078.1
COG0256	4214.9	47056.59
COG0261	NA	35185.6
