COGnum	F3NL2582	F3NL0496	F3NL1002	F2NL4627	F2NL2504
COG0008	69525.5	120216	40700.2	62093.3	7519.66
COG0012	4818.95	4862.67	4357.23	21821.4	NA
COG0013	69118.3	37688.5	52056.4	71729.9	15160.38
COG0015	26331.93	6424.39	39251.54	29132.84	3320.84
COG0016	66033.4	36725.9	33044.01	35849.9	9696.24
COG0017	167403.8	187167.5	128123.9	279556.7	31257.7
COG0018	17901.8	NA	20205.1	NA	NA
COG0028	NA	7003.93	25906	17552.5	20609.13
COG0035	86109.5	23819.9	61275.8	NA	5230.17
COG0036	8145.95	8604.56	NA	16029.6	NA
COG0039	91849	135865.7	61443	64549.2	158622
COG0044	NA	48604.8	NA	112864	NA
COG0046	241567.2	152322.8	257132.1	265952.9	105043.2
COG0047	241567.2	152322.8	257132.1	265952.9	105043.2
COG0048	1615380	1043358	1048131	2149893	326683
COG0049	785135.95	476541.2	293051.04	515503	115517.8
COG0050	5866571.16	3248144.1	5394336.4	5480726.26	3128283.79
COG0051	75860.6	27451.2	9054.82	11278.2	17062.8
COG0052	114637.9	253404.3	89204.7	164284.3	34621
COG0055	642172.17	492752.4	283723.98	514163.07	191742.25
COG0056	252677.95	141343.8	221154.3	210565.8	27856.8
COG0057	895609.58	672738.14	180142.7	609114.78	13717.48
COG0058	189968.8	221423.6	126155.2	228438.2	47314.42
COG0059	191855.78	195083.4	256464.09	205027.3	7791.81
COG0060	6325.29	NA	5648.02	7465.75	2917.86
COG0065	19866.2	49137.2	NA	23549.9	NA
COG0073	14289	7899.97	NA	NA	6342.32
COG0078	43581.8	44563.8	59106.5	36417.1	11621
COG0080	403131.94	205957.3	784569.4	549682.87	305552.03
COG0081	806594.5	533417.4	133817.8	367384.2	11423.5
COG0085	685611	686662.2	237546.48	537990.9	110799.83
COG0086	634598.5	499155.9	595569.3	597962.2	158668.24
COG0087	359144.61	186194.5	224191	218157.9	281595.2
COG0088	42059.9	5593.36	118143.6	100534	47854.09
COG0089	NA	NA	NA	NA	10733.8
COG0090	704252.73	400563.13	545018.42	1106358.4	139638.19
COG0091	705133	673843	1548580	650327	369421
COG0092	344369	343408	418919	300276	172036
COG0093	49486.01	7725.42	137528	NA	32414.08
COG0094	300253	229506.02	521270.16	267890.3	286631.6
COG0096	649402.9	389116.2	1016112.3	552192.32	126872.04
COG0097	52484.9	18086.9	121321	51845.9	15322.2
COG0098	291468.8	115995	461752.7	783339	120416.9
COG0099	97214.8	24085.7	NA	48322.6	16745.7
COG0100	21466.2	11688	34995.8	42067.5	NA
COG0102	747745	426062.3	124852.4	407305	50184.42
COG0103	119769	12118.8	17338.1	77170.7	7132.5
COG0104	41201.76	10303.1	48915.52	45390	23152.24
COG0105	NA	NA	NA	9976.4	3577.18
COG0115	172824	134257.6	175354.8	102215.2	31128.3
COG0124	16998.5	20428.1	20893.1	20869.2	NA
COG0126	348514.66	284467.64	530756.64	334197.1	113429.88
COG0129	5818.45	NA	12162.1	NA	NA
COG0136	169509.8	131089.1	162058.6	78337	45403.1
COG0137	21946.76	17922.6	21940.27	22640.9	NA
COG0138	71763	124064.5	72796.5	68494.8	34764.42
COG0139	NA	NA	3642.42	6848.06	NA
COG0140	NA	NA	12378.36	6848.06	NA
COG0141	NA	4894.14	NA	NA	4776.7
COG0143	14289	7899.97	NA	NA	6342.32
COG0148	44394.3	56054.4	79033.3	19384.8	8633.03
COG0149	322327.88	463935.97	190423.55	282467.92	126604.37
COG0150	32530.4	24010.8	41724.52	66315.3	NA
COG0151	19675.6	23215	8771.71	20073.2	3404.79
COG0152	90480.7	123525.07	124120.8	114030.2	35793.3
COG0153	34666.5	NA	54242.9	53697.1	2231.22
COG0156	23691.2	40624	14502.34	11228.2	NA
COG0157	16252.5	40972.4	NA	15778.06	9644.47
COG0162	26871.7	36092	NA	27406.4	NA
COG0165	7458.46	5478.95	7884.33	7444.92	NA
COG0166	59420.6	239260.5	107245.6	150424	78849.59
COG0172	234793.7	333936.1	144559.7	200245.6	38676.3
COG0173	93215.5	199998.9	8559.96	73359.2	9900.08
COG0176	107882.7	67194.9	123625.8	143536.9	32772.48
COG0180	21574.2	4278.22	NA	12392.9	9862.42
COG0183	16543.8	44726.6	13589.6	16071.6	3183.53
COG0185	379481	199534.8	80105.4	199034.5	48648.9
COG0186	32326.9	8438.19	68404.8	27670.6	7722.04
COG0187	15651.6	19168.7	NA	41774	9671.52
COG0188	34826.6	NA	10637.8	11550.4	33423.3
COG0190	22336.6	NA	36242.6	22165.8	15859.1
COG0191	1577419.3	3128550.1	732502.4	1151286.4	383571.43
COG0192	70622.6	60986.6	64097.9	39844.2	17567.4
COG0195	65278.2	123359	NA	61498.9	NA
COG0197	168517	99132.5	14819.8	101263	NA
COG0198	NA	NA	NA	NA	47646.6
COG0200	479381.35	690824.54	172102.15	355704.5	54273.77
COG0201	40427	44520.7	29641.95	35229.3	NA
COG0202	148062.9	122934.7	101412	121376	87909.5
COG0205	611055.4	633537	519579.5	577211.63	88464.32
COG0206	266353	126493	121418	131543	12188.7
COG0209	12066.4	NA	NA	NA	NA
COG0222	926957	200195	325257.3	238541.6	576683
COG0231	11184.2	46381.6	13504.8	24502.9	10698.1
COG0233	NA	NA	21557.3	NA	2706.6
COG0235	NA	24284.1	18509.2	NA	NA
COG0236	23423	12136	27540	NA	43894.8
COG0242	NA	13197.7	11389.9	9986.93	7204.87
COG0246	88672.7	57965.1	47739.6	59841.3	44077.5
COG0250	9198.08	3629.65	7741.5	4102.13	NA
COG0254	59492.8	42439.9	56845.3	NA	NA
COG0255	171697	70535.9	394565	191442.74	70078.1
COG0256	38062.33	4214.9	44140.3	40238.46	47056.59
COG0261	219844	NA	35627.1	NA	35185.6
COG0264	125315.43	7577.67	259047.76	15387.25	21705.72
COG0277	NA	NA	7081.56	11468.7	5778.51
COG0278	NA	12533.7	NA	NA	NA
COG0280	361034.4	184397.6	552437.45	378069.5	173648.47
COG0281	119411.1	173257.9	83235.74	69898.8	38163.67
COG0282	180137.4	137864.2	207527.61	324179.7	114406.85
COG0290	NA	NA	NA	4773.69	11168.4
COG0295	NA	NA	NA	8149.7	NA
COG0313	NA	NA	6354.59	NA	NA
COG0317	NA	NA	8292.89	NA	NA
COG0326	83731.1	43798.1	37685	89258.34	22214.56
COG0329	16097.2	NA	26681.44	23461.8	23422.29
COG0330	200384.74	128377.21	54798.3	75090.01	7798.75
COG0331	NA	NA	NA	NA	2930.79
COG0334	2411089.75	1728618.01	2618643.13	2534823.29	1098394.07
COG0335	124303	242874	264269	123503	120217
COG0343	14313.3	27258.4	7589.43	10925.5	NA
COG0348	NA	143635	22922.8	62015.1	3651.35
COG0351	36110.1	39899.3	20678.5	36984.6	NA
COG0360	NA	16628.9	NA	2193.68	2889.79
COG0363	42713.8	84586.9	5461.3	28463.2	8649.93
COG0366	56427.7	269692.7	88638.11	203116.36	8760.75
COG0367	27560.6	NA	42235.4	NA	NA
COG0371	NA	NA	9773.54	6436.41	12029.1
COG0372	NA	6330.89	NA	8447.34	NA
COG0396	NA	26707.3	15412.5	13069	19137.2
COG0411	NA	10732.6	7094.4	NA	NA
COG0422	36110.1	39899.3	20678.5	36984.6	NA
COG0423	263708	310450.1	306666.6	262362.2	162707.1
COG0426	65032.6	41881.9	177136.14	83464.74	26361.3
COG0427	20481.4	NA	NA	NA	NA
COG0436	NA	NA	24353	NA	NA
COG0438	14331.6	10645.2	NA	6838.66	NA
COG0440	20862.7	12221.6	42783.55	21074.6	3774.43
COG0441	264277	304239.3	100083.43	167554.67	5763.59
COG0442	32456.9	14215.5	4816.72	33278.5	2674.49
COG0443	1069106.06	1371968.5	1323781.3	1375200.4	437619.53
COG0446	NA	NA	10560.2	NA	NA
COG0447	56299	54544.1	NA	NA	NA
COG0448	49012.3	23961.8	49601.54	49106.6	19425.1
COG0457	38823.95	101526.9	23486.1	17778	30424
COG0458	232042.1	206220.85	127662.2	139054	40097.81
COG0459	812599.77	490207.05	1151336.81	580689.4	149952.82
COG0460	97361.9	101893	30627	74026.4	4407.4
COG0462	NA	NA	NA	NA	5817.52
COG0466	22420.1	22474.5	NA	19213.9	NA
COG0468	35718.2	48333.1	19477.7	41445.5	2412.2
COG0473	27130	35887.6	NA	16330.8	NA
COG0474	10859.7	7400.54	NA	26661.2	NA
COG0479	197688.74	49573.3	109261.57	65433.4	129793.8
COG0480	731591.93	416006.89	1334317.48	767505.42	301721.83
COG0488	9924.28	20965.4	NA	15122.2	7145.39
COG0493	169686.8	54265.13	208118.07	168124.45	60515.86
COG0495	76127.4	158490.99	35004.07	95152.8	26324.26
COG0498	12642.3	NA	NA	7731.01	NA
COG0502	6474.49	NA	8686.78	NA	NA
COG0503	18824	NA	12993	NA	2259.78
COG0504	NA	63055	23727.9	25287.2	17544.7
COG0505	4517.97	NA	NA	NA	2744.16
COG0514	11674.5	25131.8	5542.27	11186.6	NA
COG0515	13185.9	NA	23401.5	NA	NA
COG0516	1588019.2	1051744.89	1287072.2	814296.1	425648.23
COG0517	1588019.2	1051744.89	1287072.2	814296.1	425648.23
COG0518	6280.98	8683.8	NA	NA	2444.94
COG0519	83608.68	72521.18	98178.95	75388.5	27335.12
COG0521	NA	NA	NA	20438.3	NA
COG0522	223931.7	32042.87	471307	195168.7	311312.9
COG0524	61433.8	67909.5	14192.6	72138	9945.22
COG0527	97361.9	101893	30627	74026.4	4407.4
COG0532	59055.8	19520.8	65017	41062.9	28912.2
COG0536	4930.94	4844.08	NA	NA	NA
COG0538	19355.74	82063.38	NA	NA	NA
COG0540	64852	38907.6	111571	98137.4	22461.5
COG0541	NA	NA	6089.73	5171.43	6110.42
COG0542	115654.11	185385.9	101407.4	137166.96	50647.89
COG0543	2266.45	2038.67	NA	3570.74	NA
COG0544	11990	127514	67214.4	60748.1	104431
COG0550	NA	NA	NA	6266.81	NA
COG0552	NA	NA	9685.58	NA	NA
COG0554	30243.1	NA	17421.8	44098.5	NA
COG0556	17189.6	NA	17048.6	14847.9	NA
COG0557	20810.1	25630.8	NA	15805.6	NA
COG0561	NA	NA	5552.08	NA	5847.06
COG0562	16771.7	14924.65	16756.4	24763.93	NA
COG0563	104700.3	352917	170846.7	87656.14	34341.75
COG0566	NA	NA	NA	4623.81	1872.01
COG0568	4727.31	NA	5322.53	NA	NA
COG0574	2538919.2	1805076.1	3107172.98	2550748.3	846514.36
COG0589	NA	39644.7	NA	NA	NA
COG0592	8873.6	4891.83	13241.05	2798.56	6991.19
