COGcat	b14_27	b14_01	b14_02	b14_10	b14_20	b14_21	b14_24
C	12790651.56	20629254.14	16967891.78	17081417.04	18531606.38	6444461.57	12643835.49
D	280223.2	332193.34	253891.98	188386.5	196104.8	63853.4	250828.7
E	4707953.25	5060352.46	4259576.95	5611686.29	4739040.19	2221034.31	4473139.58
F	1667011.56	3452603.81	2651380.98	3705348.52	2710666.08	1374778.7	2031069.18
G	8298210.6	12482827.41	13845508.99	12480705.78	11275708.16	3819537.3	8274748.79
H	545012.6	875448.16	935510.35	847867.56	729666.11	191493.37	520159.2
I	694510.02	1020878.3	1132942.64	712865.01	1204843.95	473650.12	932329.7
J	10655054.42	20352648.05	13157090.51	18022466.24	18161877.37	7776707.87	10057157.88
K	1382527.12	1988060.83	1883038.45	1653952.42	1852080	593637	1140407.98
L	41124.37	163050.25	271341.94	134127.72	171625.29	74252.48	74331.01
M	406898.54	1248652.58	2560512.42	586548.91	900459.93	307942.06	588412.05
N	1416985.78	897419.15	673031.15	1167601.96	824352.6	967988.3	1165151.46
O	2774398.67	3728812.73	3444799.76	3837629.57	3255796.31	1484577.48	2507897.94
P	865174.73	1571746.51	507877.56	991810.22	696145.64	280543.65	629743.02
Q	153424.2	313279.45	133930.01	433934.06	296377.79	66118.23	150582.02
R	696265.39	1167926.76	839800.39	1256715.14	849037.16	431951.31	655106.23
S	113950.5	378956.8	283887.21	294807.9	402900.34	23408.48	183601.75
T	760623.73	1809619.24	1333184.37	1567686.34	1012444.81	512810.33	985734.21
U	204803	328060.9	250336.2	260355.66	251918.83	64337.02	136909.07
V	34357.2	90734.1	105936.2	14548.13	43306.56	NA	5069.4
W	19106.88	40712.7	NA	3236.66	NA	NA	42091.52
X	32621.8	68678.5	88563.6	47147.95	15628.7	2131.41	42251.51
Z	58186.6	53382.8	113946	43160.5	64561.8	NA	72202
