COGcat	F3NL2582	F3NL0496	F3NL1002	F2NL4627	F2NL2504
C	20629254.14	16967891.78	17081417.04	18531606.38	6444461.57
D	332193.34	253891.98	188386.5	196104.8	63853.4
E	5060352.46	4259576.95	5611686.29	4739040.19	2221034.31
F	3452603.81	2651380.98	3705348.52	2710666.08	1374778.7
G	12482827.41	13845508.99	12480705.78	11275708.16	3819537.3
H	875448.16	935510.35	847867.56	729666.11	191493.37
I	1020878.3	1132942.64	712865.01	1204843.95	473650.12
J	20352648.05	13157090.51	18022466.24	18161877.37	7776707.87
K	1988060.83	1883038.45	1653952.42	1852080	593637
L	163050.25	271341.94	134127.72	171625.29	74252.48
M	1248652.58	2560512.42	586548.91	900459.93	307942.06
N	897419.15	673031.15	1167601.96	824352.6	967988.3
O	3728812.73	3444799.76	3837629.57	3255796.31	1484577.48
P	1571746.51	507877.56	991810.22	696145.64	280543.65
Q	313279.45	133930.01	433934.06	296377.79	66118.23
R	1167926.76	839800.39	1256715.14	849037.16	431951.31
S	378956.8	283887.21	294807.9	402900.34	23408.48
T	1809619.24	1333184.37	1567686.34	1012444.81	512810.33
U	328060.9	250336.2	260355.66	251918.83	64337.02
V	90734.1	105936.2	14548.13	43306.56	NA
W	40712.7	NA	3236.66	NA	NA
X	68678.5	88563.6	47147.95	15628.7	2131.41
Z	53382.8	113946	43160.5	64561.8	NA
