COGcat	b14_10	b14_20
C	17081417.04	18531606.38
D	188386.5	196104.8
E	5611686.29	4739040.19
F	3705348.52	2710666.08
G	12480705.78	11275708.16
H	847867.56	729666.11
I	712865.01	1204843.95
J	18022466.24	18161877.37
K	1653952.42	1852080
L	134127.72	171625.29
M	586548.91	900459.93
N	1167601.96	824352.6
O	3837629.57	3255796.31
P	991810.22	696145.64
Q	433934.06	296377.79
R	1256715.14	849037.16
S	294807.9	402900.34
T	1567686.34	1012444.81
U	260355.66	251918.83
V	14548.13	43306.56
W	3236.66	NA
X	47147.95	15628.7
Z	43160.5	64561.8
