COGcat	b14_27	b14_01	b14_02	b14_10	b14_20	b14_21	b14_24
A	NA	3614.26	NA	33845.9	25509.7	NA	6256.4
B	2444154	4053085.58	3186784.9	1794240	1446212.63	1612198.94	3375509.07
C	13141719.86	21408712.34	17363375.18	17331769.86	18873927.5	6689623.808	13054237.5
D	280223.2	332193.34	253891.98	188386.5	196104.8	63853.4	250828.7
E	17339072.44	17086767	19218007.35	18635951.99	18714378.88	19688304.26	28288230.8
F	1714238.89	3494398.68	2699484.8	3744671.14	2729666.33	1506571.41	2142198.17
G	9491533.8	13915907.96	16465010.94	15245875.32	14466421.1	6941288.96	12966918.91
H	545012.6	879411.24	940290.04	851197.96	739679.21	191493.37	523675.96
I	1178703.85	1640459	1788303.22	1671004.11	1724605.5	1261338.07	1740294.26
J	10728350.42	20507211.15	13186196.21	18155324.4	18188268.57	7801681.42	10122540.03
K	1382527.12	1988060.83	1883038.45	1653952.42	1852080	593637	1140407.98
L	41124.37	164555.98	277408.66	134127.72	171625.29	74252.48	74331.01
M	406898.54	1250114.52	2565865.97	589273.82	903499.62	312992.65	591873.31
N	1416985.78	897419.15	673031.15	1167601.96	824352.6	975260.64	1165151.46
O	3591640.04	4288098.07	4733016.85	4784920.96	4770786.93	2823019.06	4119437.7
P	1624343.83	2493580.27	1789466.34	1859543.08	1629893.75	3312175.84	2410184.39
Q	153424.2	313279.45	133930.01	433934.06	296377.79	85160.43	150582.02
R	1665197.19	1741465.25	1918406.64	2247682.68	1921212.71	1468421.43	1770664.56
S	4785660.29	3915334.5	1935993.91	6546190.6	14476356.14	15048005.27	12142639.65
T	1413194.18	1961958.78	1767724.35	1821536.72	1272691.34	1002494.32	1515986.32
U	718643.13	708783.1	782875.36	591374.23	807653.5	969752.44	699180.7
V	2247613.32	2242377.41	2832961.27	2240099.13	1921287.09	2265334.22	3260112.32
W	1428089.5	1737677.93	1757674.7	1544626.46	1506911.5	1529027.07	2325028.92
X	32621.8	68678.5	88563.6	47147.95	15628.7	2131.41	42251.51
Z	551364.66	587230.42	925352.3	459322.76	458824.1	369600.91	721243.68
