COGcat	b14_02	b14_21
B	3186784.9	1612198.94
C	17363375.18	6689623.808
D	253891.98	63853.4
E	19218007.35	19688304.26
F	2699484.8	1506571.41
G	16465010.94	6941288.96
H	940290.04	191493.37
I	1788303.22	1261338.07
J	13186196.21	7801681.42
K	1883038.45	593637
L	277408.66	74252.48
M	2565865.97	312992.65
N	673031.15	975260.64
O	4733016.85	2823019.06
P	1789466.34	3312175.84
Q	133930.01	85160.43
R	1918406.64	1468421.43
S	1935993.91	15048005.27
T	1767724.35	1002494.32
U	782875.36	969752.44
V	2832961.27	2265334.22
W	1757674.7	1529027.07
X	88563.6	2131.41
Z	925352.3	369600.91
