COGcat	b14_10	b14_20
A	33845.9	25509.7
B	1794240	1446212.63
C	17331769.86	18873927.5
D	188386.5	196104.8
E	18635951.99	18714378.88
F	3744671.14	2729666.33
G	15245875.32	14466421.1
H	851197.96	739679.21
I	1671004.11	1724605.5
J	18155324.4	18188268.57
K	1653952.42	1852080
L	134127.72	171625.29
M	589273.82	903499.62
N	1167601.96	824352.6
O	4784920.96	4770786.93
P	1859543.08	1629893.75
Q	433934.06	296377.79
R	2247682.68	1921212.71
S	6546190.6	14476356.14
T	1821536.72	1272691.34
U	591374.23	807653.5
V	2240099.13	1921287.09
W	1544626.46	1506911.5
X	47147.95	15628.7
Z	459322.76	458824.1
