COGcat	F3NL2582	F3NL0496	F3NL1002	F2NL4627	F2NL2504
A	3614.26	NA	33845.9	25509.7	NA
B	4053085.58	3186784.9	1794240	1446212.63	1612198.94
C	21408712.34	17363375.18	17331769.86	18873927.5	6689623.808
D	332193.34	253891.98	188386.5	196104.8	63853.4
E	17086767	19218007.35	18635951.99	18714378.88	19688304.26
F	3494398.68	2699484.8	3744671.14	2729666.33	1506571.41
G	13915907.96	16465010.94	15245875.32	14466421.1	6941288.96
H	879411.24	940290.04	851197.96	739679.21	191493.37
I	1640459	1788303.22	1671004.11	1724605.5	1261338.07
J	20507211.15	13186196.21	18155324.4	18188268.57	7801681.42
K	1988060.83	1883038.45	1653952.42	1852080	593637
L	164555.98	277408.66	134127.72	171625.29	74252.48
M	1250114.52	2565865.97	589273.82	903499.62	312992.65
N	897419.15	673031.15	1167601.96	824352.6	975260.64
O	4288098.07	4733016.85	4784920.96	4770786.93	2823019.06
P	2493580.27	1789466.34	1859543.08	1629893.75	3312175.84
Q	313279.45	133930.01	433934.06	296377.79	85160.43
R	1741465.25	1918406.64	2247682.68	1921212.71	1468421.43
S	3915334.5	1935993.91	6546190.6	14476356.14	15048005.27
T	1961958.78	1767724.35	1821536.72	1272691.34	1002494.32
U	708783.1	782875.36	591374.23	807653.5	969752.44
V	2242377.41	2832961.27	2240099.13	1921287.09	2265334.22
W	1737677.93	1757674.7	1544626.46	1506911.5	1529027.07
X	68678.5	88563.6	47147.95	15628.7	2131.41
Z	587230.42	925352.3	459322.76	458824.1	369600.91
