KEGGnum	b14_02	b14_21
K00016	NA	2664.47
K00031	4648.76	6274.678
K00128	NA	3999.93
K00134	389688	232519
K00522	231946	30008.9
K00688	63617.5	29278.2
K00699	NA	3807.74
K00873	19099.6	7616.78
K00940	5050.07	100204.53
K01047	601545.48	736151.85
K01077	931284	2888946.15
K01128	17689.1	29041.6
K01168	14952.8	33302.2
K01176	1780655.75	2540440
K01203	34372.6	27557.6
K01273	218096	403711
K01278	125473	100881
K01279	6327.88	3745.24
K01283	80278	131114
K01291	895671	10368600
K01298	15050.8	294001
K01301	16003	28616.8
K01307	4779.69	NA
K01310	151916	406969
K01311	2847440	2577320
K01312	277938.2	1451213
K01316	53467.4	29764.2
K01319	6261.45	NA
K01327	23334.5	8375.38
K01345	8677270	7612030
K01346	1975730	2319510
K01352	40193.6	6504.03
K01389	136638	298587
K01395	729411	114908
K01488	34431.1	24628.1
K01513	19551.9	24113.2
K01540	6428.57	19354.9
K01623	10215.7	5250.53
K01672	NA	7667.76
K01803	23599.2	49803.5
K02132	141698	36014.7
K02183	14841.6	15549.7
K02955	NA	4487.97
K02995	13078	NA
K03177	NA	2139.38
K03231	16027.7	18346.2
K03283	8650.35	4119.37
K03767	NA	6658.69
K03910	7678.38	6871.37
K03911	48110.6	25834.3
K03935	NA	2099.42
K03956	5224.97	5755.47
K03984	283504	196222
K04565	NA	10156
K04635	10382.3	15166.7
K05027	225551	1574710
K05030	5429.33	15109.2
K05230	18679.1	66531.7
K05692	6802.66	5622.46
K05699	45735.7	24690.8
K05738	30355.3	9139.42
K05761	4930.19	9281.94
K05765	8875.18	2297.78
K05862	8786	4613.96
K05863	8467.13	24707.8
K05865	21941.6	31563.5
K05970	16226.9	9676.1
K06087	28483.57	54917.4
K06171	9619.84	5560.81
K06259	7490.68	3486.07
K06499	969757.4	1703078
K06554	30278.6	43283.3
K06568	4513.57	6380.21
K06752	20027.2	15542.4
K06811	13669.4	25147.6
K06856	4892098.2	11692403
K07374	NA	5728.6
K07375	NA	7011.79
K07604	21941.7	14291.2
K07605	32573.8	30385.22
K07836	9704.81	6191.1
K07887	19775.8	30574.9
K07903	8474.67	8364.63
K07904	14303.2	12287.7
K08007	68099.2	46281.4
K08069	28095.8	70315.8
K08574	12997.7	12296.1
K08606	39242.8	28268.9
K08664	NA	4058.7
K08757	NA	7549.47
K08779	110180	4126560
K09633	6052.02	5135.68
K09708	NA	5792.16
K10091	45573.2	52078.8
K10352	19465.5	NA
K10361	NA	5220.48
K10371	63265.9	24864.9
K10373	27416.1	NA
K10786	44273	32008.8
K10788	46567.4	83261.5
K10789	351121	79880.2
K10955	466860	347343
K11140	95458	608343
K11252	12034.9	2980.94
K11276	43049.7	72200.1
K11994	6066.72	NA
K12047	230694	134547
K12200	15181.7	15508.2
K12298	54827.2	254855
K12311	18532.3	11982.1
K12313	8185.37	5475.85
K12316	10859.9	7276.11
K12354	230824	282324
K12557	45181	21671.6
K12567	5875.5	1402.41
K13073	949499	1910290
K13438	30498.3	25585.4
K13625	30261.4	11918.8
K13822	103401	104523
K13823	9225.21	NA
K13908	44814	41121.47
K13912	1021580	2141540
K13963	529550	329372
K14073	40808.7	128192
K14208	412728	1870290
K14210	23325.8	56123.4
K14365	193294	89422.6
K14592	8953.44	5721.35
K14677	16610.7	37248.9
K15041	7247.07	6957.82
K16141	203390	78738.7
K16142	7126.73	NA
K16502	413786	77538.1
K16505	167664	88486.1
K16646	5145.09	5154.77
K17089	NA	2831.38
K17091	12594.9	184568
K17092	353034	498633
K17093	63898.9	102113
K17095	42123.3	48314.3
K17255	3650.18	2605.16
K17259	NA	8312.25
K17277	15195.1	45287.6
K17283	87459.9	25276.5
K17285	34803.8	23935.1
K17298	360428	1150640
K17300	109310	48864.5
K17527	2075779	2610360
K17751	86257.6	57877.2
K18152	10586.8	NA
K18246	15553.4	39024.5
K19719	24750.8	NA
K19720	18301.2	467768
K19867	10105.8	14720.1
K19899	11566.5	980616
K19970	8622.65	6960.08
K20349	NA	4214.68
K20369	13189.3	8359.06
K20731	36126	22494.5
K21073	18157.7	6633.46
K21127	1169550	198292
K21128	220969	44981.5
K21129	314982	99304.4
K21868	NA	2051.86
K22017	NA	10740.3
K22023	NA	24269.8
K22387	10268.3	10562.9
K22453	273674	3552000
K22970	NA	19042.2
K23009	27576.3	33149.2
K23425	96156.9	75067.4
K23430	NA	5011.41
K23468	15171.9	9121.23
K23594	3729.64	3898.57
K23879	3452.45	22866.7
K23902	NA	16352.4
K24057	NA	6798.03
K24205	8752.87	13982.6
K24220	282683.8	105431.6
K24332	10399.9	7405.64
K24524	NA	7744.89
K24665	121892	24699.1
K24793	172888	323548
K25447	12246.7	10104
K25567	888757	1576750
K25717	93286.7	25160
K25722	31763.1	47019.8
K25727	8163.57	80548.6
K25747	987102	562017
K26099	17220.4	39164.9
K27382	117775	50507.6
