KEGGnum	F3NL2582	F3NL0496	F3NL1002	F2NL4627	F2NL2504
K00016	NA	NA	NA	NA	2664.47
K00031	6971.33	4648.76	4696.94	3846.94	6274.678
K00128	3377.06	NA	8041.47	4788.8	3999.93
K00134	730757	389688	202464	250229	232519
K00522	230117	231946	55750.9	130770	30008.9
K00688	63217.4	63617.5	51045.3	53503.8	29278.2
K00699	NA	NA	NA	NA	3807.74
K00873	20091.4	19099.6	8720.24	8420.31	7616.78
K00940	NA	5050.07	5699.95	8079.15	100204.53
K01047	606804.5	601545.48	922724.7	483262.9	736151.85
K01077	553596	931284	698835	686287	2888946.15
K01128	12776.2	17689.1	NA	8132.75	29041.6
K01168	NA	14952.8	12936.9	NA	33302.2
K01176	292711	1780655.75	2207950	2679873.8	2540440
K01203	22984.1	34372.6	33824.9	21902	27557.6
K01206	2304.01	NA	NA	NA	NA
K01273	166415	218096	181447	121096	403711
K01278	100198	125473	102711	70927.4	100881
K01279	4817.75	6327.88	6504.33	5450.93	3745.24
K01283	133043	80278	50217	195683	131114
K01291	2630080	895671	4547200	12972500	10368600
K01298	15638.2	15050.8	71476.4	21292.4	294001
K01301	15922.4	16003	13615	14122.4	28616.8
K01307	3963.08	4779.69	3330.4	10013.1	NA
K01310	157415	151916	312663	112957	406969
K01311	3227210	2847440	2701150	3509530	2577320
K01312	269782	277938.2	1340877	240326.2	1451213
K01316	31371	53467.4	36846	32082.6	29764.2
K01319	NA	6261.45	NA	26759.8	NA
K01327	NA	23334.5	NA	31263.9	8375.38
K01345	6867652	8677270	7032450	7772400	7612030
K01346	571873	1975730	551768	790689	2319510
K01352	NA	40193.6	33251.1	4501.04	6504.03
K01389	73862	136638	137145	121027	298587
K01395	150759	729411	307668	1027930	114908
K01488	36215.4	34431.1	24175	NA	24628.1
K01513	12425.1	19551.9	19805.3	16708.2	24113.2
K01540	8309.33	6428.57	13722.2	NA	19354.9
K01623	10554.2	10215.7	NA	8736.73	5250.53
K01672	NA	NA	NA	NA	7667.76
K01803	47142.1	23599.2	44449.3	30994.1	49803.5
K02132	56061.7	141698	57138.1	95806.2	36014.7
K02183	NA	14841.6	14581.7	26413.7	15549.7
K02955	12621	NA	6247.86	NA	4487.97
K02981	108605	NA	115033	13159.8	NA
K02995	12526.1	13078	NA	NA	NA
K03177	NA	NA	NA	NA	2139.38
K03231	20811	16027.7	11577.3	13231.4	18346.2
K03283	6605.29	8650.35	8635.91	NA	4119.37
K03767	NA	NA	NA	NA	6658.69
K03910	6979.2	7678.38	12001.8	8661.77	6871.37
K03911	23312.4	48110.6	28401.7	26755.2	25834.3
K03935	1858.08	NA	NA	2788.98	2099.42
K03956	NA	5224.97	NA	NA	5755.47
K03984	119382	283504	203988	140023	196222
K04437	4431.67	NA	2821.68	5604.72	NA
K04565	NA	NA	NA	9079.13	10156
K04635	NA	10382.3	NA	9773.09	15166.7
K05027	271818	225551	398658	586356	1574710
K05030	12240.3	5429.33	11291.4	15798.5	15109.2
K05230	14974.9	18679.1	35089.5	24245.9	66531.7
K05692	NA	6802.66	5842.5	6087.22	5622.46
K05699	49119.2	45735.7	NA	26911.3	24690.8
K05738	38365.5	30355.3	23702.4	18955.4	9139.42
K05761	5078.39	4930.19	5740.89	5533.57	9281.94
K05765	NA	8875.18	NA	5924.41	2297.78
K05862	14194.7	8786	5602.08	10380.3	4613.96
K05863	6551.93	8467.13	10245.3	13018.6	24707.8
K05865	NA	21941.6	11267.3	30059.2	31563.5
K05970	11792.9	16226.9	15596.7	NA	9676.1
K06087	18593.28	28483.57	28802.01	3614.03	54917.4
K06171	6099.96	9619.84	7471.87	3546.04	5560.81
K06259	NA	7490.68	10458.2	11464.8	3486.07
K06499	630087.6	969757.4	418317.3	697866.05	1703078
K06554	NA	30278.6	NA	13426.7	43283.3
K06568	NA	4513.57	NA	5072.69	6380.21
K06752	6293.02	20027.2	58458.8	9005.62	15542.4
K06811	NA	13669.4	28041.8	12594.2	25147.6
K06825	6244.43	NA	NA	NA	NA
K06856	2661667.5	4892098.2	8213366.8	7961992	11692403
K07374	NA	NA	NA	NA	5728.6
K07375	NA	NA	NA	NA	7011.79
K07604	6826.83	21941.7	139367.4	18849.4	14291.2
K07605	14184	32573.8	292207.4	27817.5	30385.22
K07836	NA	9704.81	NA	11042.5	6191.1
K07887	28831.3	19775.8	NA	NA	30574.9
K07903	NA	8474.67	NA	NA	8364.63
K07904	7760.21	14303.2	7880.89	8883.74	12287.7
K08007	28186.4	68099.2	20170	33561.4	46281.4
K08069	3482.92	28095.8	3091.43	9160.1	70315.8
K08574	4973.91	12997.7	5606.38	7386.35	12296.1
K08606	33126.2	39242.8	31641.2	74576.8	28268.9
K08664	5793.02	NA	4080.06	5996.42	4058.7
K08757	14766.5	NA	NA	NA	7549.47
K08779	385848	110180	997770	234148	4126560
K09633	NA	6052.02	NA	4387.15	5135.68
K09708	12045.8	NA	20323.5	NA	5792.16
K10091	39153.7	45573.2	51508.4	45443.8	52078.8
K10352	NA	19465.5	NA	NA	NA
K10361	NA	NA	NA	NA	5220.48
K10371	39370.1	63265.9	47444.4	41678.2	24864.9
K10373	13265.6	27416.1	NA	NA	NA
K10786	23922.1	44273	31816.6	NA	32008.8
K10788	21197.8	46567.4	59279	32906.4	83261.5
K10789	68993.5	351121	215354	576665	79880.2
K10955	451839	466860	550994	481340	347343
K11140	57845.2	95458	256449	165490	608343
K11142	NA	NA	19428.3	8782.14	NA
K11252	7705.58	12034.9	NA	5135.63	2980.94
K11276	18190	43049.7	33990.1	12846.9	72200.1
K11994	1505.73	6066.72	NA	NA	NA
K12047	213837	230694	153106	84378.9	134547
K12200	NA	15181.7	7425.39	NA	15508.2
K12298	72556.4	54827.2	55851.4	8922.61	254855
K12311	13193.8	18532.3	12085	14548.7	11982.1
K12313	NA	8185.37	6724.49	NA	5475.85
K12316	5654.54	10859.9	NA	NA	7276.11
K12354	219257	230824	364305	236246	282324
K12557	33031	45181	23801.6	33329.6	21671.6
K12567	17914.1	5875.5	19350.8	22791.1	1402.41
K13073	472868	949499	1268480	1033100	1910290
K13197	3614.26	NA	33845.9	25509.7	NA
K13438	16334.2	30498.3	NA	32794.6	25585.4
