KEGGnum	b14_27	b14_01	b14_02	b14_10	b14_20	b14_21	b14_24
K00016	NA	NA	NA	NA	NA	2664.47	NA
K00031	12562.36	6971.33	4648.76	4696.94	3846.94	6274.678	8603.82
K00128	6117.64	3377.06	NA	8041.47	4788.8	3999.93	5291.87
K00134	247209	730757	389688	202464	250229	232519	379062
K00414	12268.6	NA	NA	NA	NA	NA	NA
K00522	53092.2	230117	231946	55750.9	130770	30008.9	128357
K00688	61535.1	63217.4	63617.5	51045.3	53503.8	29278.2	69673
K00699	NA	NA	NA	NA	NA	3807.74	6273.02
K00873	23105.8	20091.4	19099.6	8720.24	8420.31	7616.78	22701.2
K00940	13427.6	NA	5050.07	5699.95	8079.15	100204.53	70296.99
K01047	439454.5	606804.5	601545.48	922724.7	483262.9	736151.85	753888.46
K01077	580982.7	553596	931284	698835	686287	2888946.15	1482882.5
K01128	36847.7	12776.2	17689.1	NA	8132.75	29041.6	19354.1
K01168	NA	NA	14952.8	12936.9	NA	33302.2	37489.1
K01176	567144	292711	1780655.75	2207950	2679873.8	2540440	3849360
K01203	NA	22984.1	34372.6	33824.9	21902	27557.6	38248.6
K01206	NA	2304.01	NA	NA	NA	NA	NA
K01273	337360	166415	218096	181447	121096	403711	302458
K01278	23673.1	100198	125473	102711	70927.4	100881	123136
K01279	7555.33	4817.75	6327.88	6504.33	5450.93	3745.24	5682.11
K01283	41717.6	133043	80278	50217	195683	131114	191212
K01291	3823890	2630080	895671	4547200	12972500	10368600	8788860
K01298	125763	15638.2	15050.8	71476.4	21292.4	294001	151416
K01301	NA	15922.4	16003	13615	14122.4	28616.8	21030.3
K01307	NA	3963.08	4779.69	3330.4	10013.1	NA	3516.76
K01310	246515	157415	151916	312663	112957	406969	460052
K01311	2934230	3227210	2847440	2701150	3509530	2577320	3712430
K01312	1374726	269782	277938.2	1340877	240326.2	1451213	1817561
K01316	NA	31371	53467.4	36846	32082.6	29764.2	41925.2
K01319	8596.76	NA	6261.45	NA	26759.8	NA	6230.42
K01327	27303	NA	23334.5	NA	31263.9	8375.38	20049.6
K01345	7051635	6867652	8677270	7032450	7772400	7612030	12097140
K01346	123601	571873	1975730	551768	790689	2319510	3623900
K01352	11835.1	NA	40193.6	33251.1	4501.04	6504.03	11302.8
K01389	90523.5	73862	136638	137145	121027	298587	155307
K01395	229765	150759	729411	307668	1027930	114908	376580
K01488	26805.5	36215.4	34431.1	24175	NA	24628.1	33375
K01513	26916.9	12425.1	19551.9	19805.3	16708.2	24113.2	22609.6
K01540	25218.3	8309.33	6428.57	13722.2	NA	19354.9	17023.9
K01623	27334.5	10554.2	10215.7	NA	8736.73	5250.53	15125.9
K01672	NA	NA	NA	NA	NA	7667.76	NA
K01803	114260	47142.1	23599.2	44449.3	30994.1	49803.5	62008.4
K02132	97672.2	56061.7	141698	57138.1	95806.2	36014.7	108753
K02183	29688.5	NA	14841.6	14581.7	26413.7	15549.7	17601.4
K02358	11967.2	NA	NA	NA	NA	NA	NA
K02955	NA	12621	NA	6247.86	NA	4487.97	8130.46
K02981	22131.6	108605	NA	115033	13159.8	NA	12349.4
K02995	39197.2	12526.1	13078	NA	NA	NA	27186.5
K03177	NA	NA	NA	NA	NA	2139.38	2631.69
K03231	NA	20811	16027.7	11577.3	13231.4	18346.2	15084.1
K03283	10624.6	6605.29	8650.35	8635.91	NA	4119.37	20196
K03767	NA	NA	NA	NA	NA	6658.69	NA
K03910	9807.66	6979.2	7678.38	12001.8	8661.77	6871.37	12186.4
K03911	NA	23312.4	48110.6	28401.7	26755.2	25834.3	44654.4
K03935	NA	1858.08	NA	NA	2788.98	2099.42	2002.9
K03956	NA	NA	5224.97	NA	NA	5755.47	NA
K03984	220303	119382	283504	203988	140023	196222	242636
K04437	NA	4431.67	NA	2821.68	5604.72	NA	3422.88
K04565	NA	NA	NA	NA	9079.13	10156	11024.1
K04635	20885.5	NA	10382.3	NA	9773.09	15166.7	12695.2
K05027	470116	271818	225551	398658	586356	1574710	741370
K05030	17977.3	12240.3	5429.33	11291.4	15798.5	15109.2	18807.4
K05230	10996.1	14974.9	18679.1	35089.5	24245.9	66531.7	39719.4
K05692	10944.7	NA	6802.66	5842.5	6087.22	5622.46	5182.68
K05699	53105.8	49119.2	45735.7	NA	26911.3	24690.8	36275.5
K05738	41659.9	38365.5	30355.3	23702.4	18955.4	9139.42	32946.6
K05761	8114.59	5078.39	4930.19	5740.89	5533.57	9281.94	8486.66
K05765	NA	NA	8875.18	NA	5924.41	2297.78	5710.88
K05862	11660.4	14194.7	8786	5602.08	10380.3	4613.96	10188.2
K05863	NA	6551.93	8467.13	10245.3	13018.6	24707.8	12615.4
K05865	31808.5	NA	21941.6	11267.3	30059.2	31563.5	19878.6
K05970	NA	11792.9	16226.9	15596.7	NA	9676.1	18496.1
K06087	38985.9	18593.28	28483.57	28802.01	3614.03	54917.4	25161.66
K06171	NA	6099.96	9619.84	7471.87	3546.04	5560.81	5101.44
K06259	NA	NA	7490.68	10458.2	11464.8	3486.07	8899.01
K06499	910613.2	630087.6	969757.4	418317.3	697866.05	1703078	832465
K06554	NA	NA	30278.6	NA	13426.7	43283.3	29932.7
K06568	NA	NA	4513.57	NA	5072.69	6380.21	6653
K06752	NA	6293.02	20027.2	58458.8	9005.62	15542.4	11644.2
K06811	NA	NA	13669.4	28041.8	12594.2	25147.6	22772.7
K06825	NA	6244.43	NA	NA	NA	NA	NA
K06856	6051768.5	2661667.5	4892098.2	8213366.8	7961992	11692403	9170963.44
K07374	NA	NA	NA	NA	NA	5728.6	NA
K07375	8315.17	NA	NA	NA	NA	7011.79	11198.5
K07604	377587.2	6826.83	21941.7	139367.4	18849.4	14291.2	62769.37
K07605	579159.2	14184	32573.8	292207.4	27817.5	30385.22	88183.1
K07836	14874.6	NA	9704.81	NA	11042.5	6191.1	7652.86
K07887	30438.6	28831.3	19775.8	NA	NA	30574.9	30679.1
K07903	NA	NA	8474.67	NA	NA	8364.63	6829.54
K07904	NA	7760.21	14303.2	7880.89	8883.74	12287.7	10280.4
K08007	67407.7	28186.4	68099.2	20170	33561.4	46281.4	44553.3
K08069	10661.7	3482.92	28095.8	3091.43	9160.1	70315.8	21057.8
K08574	5244.08	4973.91	12997.7	5606.38	7386.35	12296.1	13210.2
K08606	27914	33126.2	39242.8	31641.2	74576.8	28268.9	37672.5
K08664	NA	5793.02	NA	4080.06	5996.42	4058.7	8080.36
K08757	NA	14766.5	NA	NA	NA	7549.47	14293
K08779	343298	385848	110180	997770	234148	4126560	2491960
K09633	11272.2	NA	6052.02	NA	4387.15	5135.68	5145.01
K09708	NA	12045.8	NA	20323.5	NA	5792.16	11323.5
K10091	52747.5	39153.7	45573.2	51508.4	45443.8	52078.8	75548.9
K10352	NA	NA	19465.5	NA	NA	NA	4859.71
K10356	NA	NA	NA	NA	NA	NA	14266.6
K10361	NA	NA	NA	NA	NA	5220.48	NA
K10371	64248.4	39370.1	63265.9	47444.4	41678.2	24864.9	43124.9
K10373	NA	13265.6	27416.1	NA	NA	NA	17898.4
K10786	NA	23922.1	44273	31816.6	NA	32008.8	37658.2
K10788	53994.2	21197.8	46567.4	59279	32906.4	83261.5	60581.8
K10789	303421	68993.5	351121	215354	576665	79880.2	261185
K10955	386806	451839	466860	550994	481340	347343	644271
K11140	153029	57845.2	95458	256449	165490	608343	678814
K11142	NA	NA	NA	19428.3	8782.14	NA	NA
K11252	NA	7705.58	12034.9	NA	5135.63	2980.94	9119.07
K11276	24812.9	18190	43049.7	33990.1	12846.9	72200.1	31528.9
K11994	NA	1505.73	6066.72	NA	NA	NA	NA
K12047	113975	213837	230694	153106	84378.9	134547	186031
K12200	22992.4	NA	15181.7	7425.39	NA	15508.2	13691.8
K12298	92942.4	72556.4	54827.2	55851.4	8922.61	254855	127013
K12311	NA	13193.8	18532.3	12085	14548.7	11982.1	17513.1
K12313	NA	NA	8185.37	6724.49	NA	5475.85	8673.57
