KEGGnum	b14_27
K00031	12562.36
K00128	6117.64
K00134	247209
K00414	12268.6
K00522	53092.2
K00688	61535.1
K00873	23105.8
K00940	13427.6
K01047	439454.5
K01077	580982.7
K01128	36847.7
K01176	567144
K01273	337360
K01278	23673.1
K01279	7555.33
K01283	41717.6
K01291	3823890
K01298	125763
K01310	246515
K01311	2934230
K01312	1374726
K01319	8596.76
K01327	27303
K01345	7051635
K01346	123601
K01352	11835.1
K01389	90523.5
K01395	229765
K01488	26805.5
K01513	26916.9
K01540	25218.3
K01623	27334.5
K01803	114260
K02132	97672.2
K02183	29688.5
K02358	11967.2
K02981	22131.6
K02995	39197.2
K03283	10624.6
K03910	9807.66
K03984	220303
K04635	20885.5
K05027	470116
K05030	17977.3
K05230	10996.1
K05692	10944.7
K05699	53105.8
K05738	41659.9
K05761	8114.59
K05862	11660.4
K05865	31808.5
K06087	38985.9
K06499	910613.2
K06856	6051768.5
K07375	8315.17
K07604	377587.2
K07605	579159.2
K07836	14874.6
K07887	30438.6
K08007	67407.7
K08069	10661.7
K08574	5244.08
K08606	27914
K08779	343298
K09633	11272.2
K10091	52747.5
K10371	64248.4
K10788	53994.2
K10789	303421
K10955	386806
K11140	153029
K11276	24812.9
K12047	113975
K12200	22992.4
K12298	92942.4
K12316	9071.3
K12354	215077
K12557	31544.2
K12567	23350.2
K13073	645262
K13438	27201.5
K13625	20943.7
K13822	62282.1
K13908	51863.6
K13912	592779
K13963	222201
K14208	449891
K14365	106204
K14677	15359.2
K15041	18820.9
K16141	227726
K16142	9461.03
K16502	354345
K16505	7933.79
K17089	3696.73
K17091	18390.9
K17092	246370
K17093	173417
K17095	41526.9
K17259	8352.87
K17277	33332.7
K17283	115330
K17285	25100.7
K17298	332228
K17300	20613.3
K17527	751752
K17751	38120.1
K18246	16938.5
K19719	36970.3
K19720	95316.8
K19899	842327
K19970	6994.23
K20731	7891.63
K21127	2088410
K21128	466402
K21129	264108
K22023	8496.22
K22453	590049
K23009	16480
K23425	68133.3
K23468	26506.5
K23757	6594.98
K24205	16305.9
K24220	139115.2
K24665	70762.1
K24793	339506
K25567	421912
K25717	54602.5
K25727	383354
K25747	1117050
K26099	28513.3
K27382	172434
