KEGGnum	b14_24
K00031	8603.82
K00128	5291.87
K00134	379062
K00522	128357
K00688	69673
K00699	6273.02
K00873	22701.2
K00940	70296.99
K01047	753888.46
K01077	1482882.5
K01128	19354.1
K01168	37489.1
K01176	3849360
K01203	38248.6
K01273	302458
K01278	123136
K01279	5682.11
K01283	191212
K01291	8788860
K01298	151416
K01301	21030.3
K01307	3516.76
K01310	460052
K01311	3712430
K01312	1817561
K01316	41925.2
K01319	6230.42
K01327	20049.6
K01345	12097140
K01346	3623900
K01352	11302.8
K01389	155307
K01395	376580
K01488	33375
K01513	22609.6
K01540	17023.9
K01623	15125.9
K01803	62008.4
K02132	108753
K02183	17601.4
K02955	8130.46
K02981	12349.4
K02995	27186.5
K03177	2631.69
K03231	15084.1
K03283	20196
K03910	12186.4
K03911	44654.4
K03935	2002.9
K03984	242636
K04437	3422.88
K04565	11024.1
K04635	12695.2
K05027	741370
K05030	18807.4
K05230	39719.4
K05692	5182.68
K05699	36275.5
K05738	32946.6
K05761	8486.66
K05765	5710.88
K05862	10188.2
K05863	12615.4
K05865	19878.6
K05970	18496.1
K06087	25161.66
K06171	5101.44
K06259	8899.01
K06499	832465
K06554	29932.7
K06568	6653
K06752	11644.2
K06811	22772.7
K06856	9170963.44
K07375	11198.5
K07604	62769.37
K07605	88183.1
K07836	7652.86
K07887	30679.1
K07903	6829.54
K07904	10280.4
K08007	44553.3
K08069	21057.8
K08574	13210.2
K08606	37672.5
K08664	8080.36
K08757	14293
K08779	2491960
K09633	5145.01
K09708	11323.5
K10091	75548.9
K10352	4859.71
K10356	14266.6
K10371	43124.9
K10373	17898.4
K10786	37658.2
K10788	60581.8
K10789	261185
K10955	644271
K11140	678814
K11252	9119.07
K11276	31528.9
K12047	186031
K12200	13691.8
K12298	127013
K12311	17513.1
K12313	8673.57
K12316	10956.4
K12354	378684
K12557	38315.8
K12567	20679.9
K13073	1012150
K13197	6256.4
K13438	24209.7
K13625	27909.9
K13822	125597
K13823	12358.9
K13908	71006.1
K13912	1578300
K13963	475527
K14073	127026
K14208	853708
K14210	17616.1
K14365	95612.8
K14592	9441.87
K14677	28470
K15041	13551.2
K16141	377924
K16142	6276.33
K16502	347646
K16505	125048
K16646	2733.08
K17089	2790.41
K17091	24933.8
K17092	381412
K17093	50391.2
K17095	44995.2
K17259	7362.11
K17277	35161.5
K17283	75707.9
K17285	38352.5
K17298	465951
K17300	70735.6
K17527	1592039
K17751	73079.2
K18246	15036.8
K19719	36026.9
K19720	132160
K19867	8402.7
K19899	990210
K19970	7457
K20369	7226.9
K20731	34722
K21073	14590.6
K21100	14427.2
K21127	868520
K21128	177624
K21129	209449
K22017	6439.91
K22023	17868.2
K22387	13092.1
K22453	1010890
K23009	23382.1
K23113	12644.8
K23425	77890.8
K23430	9495.34
K23468	20437.9
K23594	4202.9
K23757	2583.84
K23879	8893.77
K23902	11530.6
K24057	3550.84
K24205	9369.57
K24220	244629.6
K24332	9036.08
K24524	7176.19
K24665	65106.2
K24793	358884
K25447	12886.3
K25567	901150
K25717	134819
K25722	24393.8
K25727	175276
K25747	879544
K26099	13850.6
K27382	115814
