KEGGnum	b14_10	b14_20
K00031	4696.94	3846.94
K00128	8041.47	4788.8
K00134	202464	250229
K00522	55750.9	130770
K00688	51045.3	53503.8
K00873	8720.24	8420.31
K00940	5699.95	8079.15
K01047	922724.7	483262.9
K01077	698835	686287
K01128	NA	8132.75
K01168	12936.9	NA
K01176	2207950	2679873.8
K01203	33824.9	21902
K01273	181447	121096
K01278	102711	70927.4
K01279	6504.33	5450.93
K01283	50217	195683
K01291	4547200	12972500
K01298	71476.4	21292.4
K01301	13615	14122.4
K01307	3330.4	10013.1
K01310	312663	112957
K01311	2701150	3509530
K01312	1340877	240326.2
K01316	36846	32082.6
K01319	NA	26759.8
K01327	NA	31263.9
K01345	7032450	7772400
K01346	551768	790689
K01352	33251.1	4501.04
K01389	137145	121027
K01395	307668	1027930
K01488	24175	NA
K01513	19805.3	16708.2
K01540	13722.2	NA
K01623	NA	8736.73
K01803	44449.3	30994.1
K02132	57138.1	95806.2
K02183	14581.7	26413.7
K02955	6247.86	NA
K02981	115033	13159.8
K03231	11577.3	13231.4
K03283	8635.91	NA
K03910	12001.8	8661.77
K03911	28401.7	26755.2
K03935	NA	2788.98
K03984	203988	140023
K04437	2821.68	5604.72
K04565	NA	9079.13
K04635	NA	9773.09
K05027	398658	586356
K05030	11291.4	15798.5
K05230	35089.5	24245.9
K05692	5842.5	6087.22
K05699	NA	26911.3
K05738	23702.4	18955.4
K05761	5740.89	5533.57
K05765	NA	5924.41
K05862	5602.08	10380.3
K05863	10245.3	13018.6
K05865	11267.3	30059.2
K05970	15596.7	NA
K06087	28802.01	3614.03
K06171	7471.87	3546.04
K06259	10458.2	11464.8
K06499	418317.3	697866.05
K06554	NA	13426.7
K06568	NA	5072.69
K06752	58458.8	9005.62
K06811	28041.8	12594.2
K06856	8213366.8	7961992
K07604	139367.4	18849.4
K07605	292207.4	27817.5
K07836	NA	11042.5
K07904	7880.89	8883.74
K08007	20170	33561.4
K08069	3091.43	9160.1
K08574	5606.38	7386.35
K08606	31641.2	74576.8
K08664	4080.06	5996.42
K08779	997770	234148
K09633	NA	4387.15
K09708	20323.5	NA
K10091	51508.4	45443.8
K10371	47444.4	41678.2
K10786	31816.6	NA
K10788	59279	32906.4
K10789	215354	576665
K10955	550994	481340
K11140	256449	165490
K11142	19428.3	8782.14
K11252	NA	5135.63
K11276	33990.1	12846.9
K12047	153106	84378.9
K12200	7425.39	NA
K12298	55851.4	8922.61
K12311	12085	14548.7
K12313	6724.49	NA
K12354	364305	236246
K12557	23801.6	33329.6
K12567	19350.8	22791.1
K13073	1268480	1033100
K13197	33845.9	25509.7
K13438	NA	32794.6
K13625	15420.5	9968.37
K13822	54218.7	112555
K13823	NA	26689.7
K13908	27915.8	36283.9
K13912	919719	628966
K13963	391641	173494
K14073	161946	27559
K14208	447675	683020
K14210	36943.1	11711.9
K14365	99504.2	42277.4
K14592	9550.05	10940.3
K14677	32669	9895.78
K15041	9754.13	9287.81
K16141	161323	229810
K16142	3475.01	20765.7
K16502	300335	723236
K16505	296243	94237.6
K16646	3313.03	2585.12
K17091	NA	18141.3
K17092	215350	455783
K17093	52788.5	40848.1
K17095	38198.1	24304.2
K17259	4391.43	5473.62
K17283	53770.4	148967
K17285	26132.2	30121.7
K17298	428356	195187
K17300	97469.8	80555.9
K17527	1541351	1547665
K17751	40644.7	73587
K18152	9921.36	6010.43
K18246	19493.1	18853.5
K19719	21730.8	46567.2
K19720	75523.4	80790.5
K19867	NA	7348.28
K19899	1265180	482598
K19970	9447.67	10921.1
K20349	5896.99	NA
K20369	7591.06	5189.21
K20731	35414.4	28365.9
K21073	27302.2	NA
K21100	13417.6	NA
K21127	379432	4077360
K21128	83318.6	796534
K21129	192709	187348
K22023	13395.1	NA
K22387	8428.31	NA
K22453	168097	13419.6
K23009	10316.5	15447.6
K23425	62168.7	46363.4
K23468	12000.4	9434.37
K23594	NA	3855.59
K23757	5491.87	NA
K23879	NA	4421.12
K24220	137084	137563.7
K24332	12641.3	6942.07
K24665	60135.6	239404
K24793	284284	243980
K25447	14319.7	23678.6
K25567	1002100	750768
K25717	89638.6	882341
K25722	24984	9752.66
K25727	16078.8	83428.3
K25747	705751	940787
K26099	15604.3	6198.43
K27382	107584	82826.9
