KEGGnum	b14_27	b14_01	b14_02	b14_10	b14_20	b14_21	b14_24
K00005	NA	NA	NA	9773.54	6436.41	12029.1	13718.8
K00008	53554.8	209738.4	76401.7	300345.3	183021	84340.4	106211.6
K00012	10952.5	6299.2	8050.77	NA	6894.93	NA	7397.71
K00013	NA	NA	4894.14	NA	NA	4776.7	4773.48
K00024	131170	91849	135865.7	61443	64549.2	158622	240073.5
K00027	7501.4	40790	48511.9	73746.09	31297.1	33886.1	28496.79
K00029	59840.8	78621.1	124746	9489.65	38601.7	4277.57	16228.4
K00031	38226.85	19355.74	82063.38	NA	NA	NA	17302.5
K00040	48573.4	88672.7	57965.1	47739.6	59841.3	44077.5	44251.6
K00048	92393.4	272268	176466	168835	322424	5903.12	160652
K00052	NA	27130	35887.6	NA	16330.8	NA	NA
K00053	168939	191855.78	195083.4	256464.09	205027.3	7791.81	245107
K00059	76210.5	30793.4	40865.4	25035.3	38909	60359.5	76532.1
K00067	18196.5	30011.6	30004.1	36134.9	37237.1	NA	33619.9
K00088	565331.6	1588019.2	1051744.89	1287072.2	814296.1	425648.23	843586.7
K00128	3962.46	NA	8803.21	NA	4138.11	NA	NA
K00133	81274.4	169509.8	131089.1	162058.6	78337	45403.1	97011.5
K00134	538436.41	895609.58	672738.14	180142.7	609114.78	13717.48	362275.11
K00175	4055.58	20056.05	19501.3	NA	NA	1454.87	NA
K00208	19655.4	45261.3	82211.7	24834	69968.9	NA	18083.1
K00239	448198.9	812144.1	100951.3	376045.9	157695.9	299571.8	322091.4
K00240	92880.4	197688.74	49573.3	109261.57	65433.4	129793.8	127199.27
K00243	NA	9648.46	20583.4	12329.2	12520.2	4481.08	10990.7
K00248	39404.9	58203.2	45416.5	29915.5	35973.2	NA	31859.7
K00262	2476801.5	2411089.75	1728618.01	2618643.13	2534823.29	1098394.07	2267227.87
K00266	105162.7	169686.8	54265.13	208118.07	168124.45	60515.86	80977.4
K00290	87668.2	87113.9	136562	35596.8	87202.5	5267.46	26907.9
K00335	12279.2	42888.1	12714.2	68755.2	29624.4	7318.08	10442.1
K00336	NA	NA	NA	23354.1	NA	NA	NA
K00346	174111.03	191021.5	22724.71	225572.59	21939.42	148799.33	215990.64
K00351	145378.2	308427	168420.1	111783.9	182698.7	129811.7	150360.1
K00525	17241.3	12066.4	NA	NA	NA	NA	8641.29
K00528	NA	2266.45	2038.67	NA	3570.74	NA	NA
K00602	40826.9	29482.6	17267.5	56138.3	33311.3	34764.42	38065.2
K00609	68573.5	64852	38907.6	111571	98137.4	22461.5	53222.2
K00615	1506.61	16507.8	4232.42	25238.64	24466.19	3825.31	13409.98
K00616	118696.3	107882.7	67194.9	123625.8	143536.9	32772.48	101692.2
K00625	208901.1	282413.3	59651.6	542947.8	339467.8	169370.9	237187.4
K00626	9567.76	16543.8	44726.6	13589.6	16071.6	3183.53	10563.4
K00639	NA	NA	NA	7437.87	NA	NA	NA
K00645	NA	NA	NA	NA	NA	2930.79	NA
K00652	12157.1	23691.2	40624	7064.47	11228.2	NA	NA
K00656	1030528.11	602729.65	393356.91	855696.79	582877.02	691564.54	745353.22
K00677	NA	12445.5	15416.9	NA	6814.8	NA	NA
K00688	59115.86	189968.8	221423.6	126155.2	228438.2	47314.42	79136.91
K00705	NA	7594.35	11595	3961.89	14153.6	NA	5664.6
K00761	41589.8	86109.5	23819.9	61275.8	NA	5230.17	19269.1
K00767	7775.52	16252.5	40972.4	NA	15778.06	9644.47	7626.26
K00773	NA	14313.3	27258.4	7589.43	10925.5	NA	6530.37
K00789	36380.4	70622.6	60986.6	64097.9	39844.2	17567.4	13590.8
K00826	117641.58	172824	134257.6	175354.8	102215.2	31128.3	59280.3
K00831	67812.6	78379.6	77044.2	113370.63	68284.4	64216.7	69920.16
K00848	8822.32	64731.2	8248.63	81181.5	43742.5	7382.93	21587.95
K00849	28347.68	34666.5	NA	54242.9	53697.1	2231.22	19088.7
K00850	293581.4	362405.8	429046.7	407567.6	357940	69254	271373
K00854	NA	19898.4	4370.29	25582.1	15006.9	NA	5304.92
K00864	NA	30243.1	NA	17421.8	44098.5	NA	31688.1
K00874	6125.32	61433.8	67909.5	14192.6	72138	9945.22	10800.2
K00878	NA	NA	15614.4	NA	NA	NA	9844.18
K00895	24772.24	192343.2	131792	39065.9	146615.3	14428.6	37641.1
K00925	218547.51	180137.4	137864.2	207527.61	324179.7	114406.85	155300.69
K00927	119503.75	348514.66	284467.64	530756.64	334197.1	113429.88	225516.9
K00939	37874.9	104700.3	352917	170846.7	87656.14	34341.75	51121.57
K00940	NA	NA	NA	NA	9976.4	3577.18	3008.49
K00948	NA	NA	NA	NA	NA	5817.52	NA
K00962	154301.9	211262.4	157864.2	195205.1	179074.82	48732	126126.2
K00973	104517	102101	185676	95178.5	130330	84830.4	114068
K00975	46922.4	49012.3	23961.8	49601.54	49106.6	19425.1	43886.3
K00979	NA	NA	76977.1	NA	NA	NA	21526
K01006	1940972.7	2538919.2	1805076.1	3107172.98	2550748.3	846514.36	1720138.3
K01139	NA	NA	NA	8292.89	NA	NA	NA
K01190	NA	4689.99	NA	29968.95	3933.15	NA	4035.14
K01193	NA	NA	6858.12	13449	4467.93	NA	NA
K01198	NA	7697.47	NA	NA	NA	NA	3833.7
K01201	NA	NA	NA	NA	NA	8943.13	NA
K01222	5820.62	7948.9	10120.3	33466.4	9678.32	30335.9	17051.1
K01270	NA	22489.1	81545.1	NA	32337.6	11624.8	23939.2
K01274	NA	NA	NA	NA	5453.86	NA	NA
K01277	NA	8042.95	15007.9	NA	NA	NA	NA
K01338	NA	22420.1	22474.5	NA	19213.9	NA	21554.3
K01361	10647.4	102901	68029.7	9895.46	33120.6	NA	16148.7
