KEGGcat	b14_27	b14_01	b14_02	b14_10	b14_20	b14_21	b14_24
09101 Carbohydrate metabolism	10791137.45	17235626.48	19880117.95	15136524.31	15402549.02	6420433.39	11578913.47
09102 Energy metabolism	11596104.46	16659135.25	15298957.66	15238842.11	14889369.24	6175959.11	11444160.73
09103 Lipid metabolism	397005.42	503030.79	388395.41	357482.69	648188.87	260734.85	428815.24
09104 Nucleotide metabolism	1412022.47	2881181.79	2338927.07	2736056.39	2050942.75	988915.4	1705452.06
09105 Amino acid metabolism	4713633.35	5200603.71	4509958.01	5241182.56	5059527.75	2272501.89	4482495.08
09106 Metabolism of other amino acids	518767.56	576887.74	423243.96	783553.52	736096.41	303354.54	481988.36
09107 Glycan biosynthesis and metabolism	302292.08	479046.87	815656.72	446696.98	574747.76	294398.19	465394.9
09108 Metabolism of cofactors and vitamins	870213.26	1282050.56	1347716.19	1796298.32	1208368.88	694443.81	884240.04
09109 Metabolism of terpenoids and polyketides	197936.91	248012.04	462177.46	273600.74	419075.53	140711.14	288683.98
09110 Biosynthesis of other secondary metabolites	638831.96	879695.69	1015929.77	775954.77	839944.78	377498.6	605079.94
09111 Xenobiotics biodegradation and metabolism	955771.42	2029822.28	1405691.13	1659175.25	1367126.91	711571.06	1275475.19
09121 Transcription	942042.04	1468272.4	1308752.8	934527.78	1257329.1	357377.57	790338.08
09122 Translation	5824877.91	12777218.21	8971587.71	10601698.92	11347880.29	4167331.87	5455953.08
09123 Folding, sorting and degradation	2584731.78	3348245.33	3028364.35	3435818.42	2984145.79	798718	1938332.52
09124 Replication and repair	32990.43	70139.71	57318.36	67500.85	66426.88	14229.36	27151.28
09131 Membrane transport	802866.7	1617336.64	1109130.45	1917319.35	1229426.72	200498.9	1128161.26
09132 Signal transduction	3056303.11	2914335.97	2209697.49	2680884.66	2294522.5	1467456.81	2565167.4
09141 Transport and catabolism	69949.75	57844.24	94082.18	35156.64	NA	77311.13	86223.23
09142 Cell motility	1709322.6	1210731.17	1060934.25	1777566.36	1196106.6	920654.78	1414397.12
09143 Cell growth and death	901056.65	883170.1	734937.3	678372.8	671136.22	324490.68	739135.01
09145 Cellular community - prokaryotes	246560.46	442430.6	536412.7	387739.5	424958.93	141712.49	260876.36
09149 Aging	1795098.45	1989087.83	2047561.45	2566418.41	2093056.76	638220.24	1344841.65
09151 Immune system	1276790.39	826962.15	204722.71	932210.8	601151.44	938538.16	1017376.94
09152 Endocrine system	436184.55	763285.2	819014.4	608414.95	817971.84	151046.1	437153.91
09154 Digestive system	9567.76	16543.8	44726.6	13589.6	16071.6	3183.53	10563.4
09155 Excretory system	18349.5	18315.3	NA	10095.7	59635.1	7985.55	11320.4
09156 Nervous system	663431.8	320697.1	320748.1	393114.6	202682.78	242773	531909.9
09159 Environmental adaptation	5250543.59	6723776.41	3500607.61	6381971.9	6180107.5	4090794.95	4912379.36
09161 Cancer: overview	373211.04	465492.64	602648.98	483255.5	501329.64	115441.56	316082.6
09162 Cancer: specific types	5296.99	83731.1	43798.1	37685	89258.34	22214.56	27407.1
09164 Neurodegenerative disease	574542.21	895609.58	720478.94	218145.6	663246.08	37690.48	362275.11
09166 Cardiovascular disease	1516097.25	1813887.21	1272406.69	1429107.68	1355834.72	209857.86	870873.5
09167 Endocrine and metabolic disease	996431.37	1020883.87	720433.86	1287587.71	872900.81	205252.79	556561.9
09171 Infectious disease: bacterial	4088313.47	4436426.53	2908108.2	4013308.21	3327283.91	1933898.59	3060511.6
09174 Infectious disease: parasitic	168761	293873	154236	179404	428660	129394	217542
09175 Drug resistance: antimicrobial	NA	23444.2	15416.9	40826.6	6814.8	39462.95	52241.53
09176 Drug resistance: antineoplastic	40826.9	29482.6	17267.5	56138.3	33311.3	34764.42	38065.2
09181 Protein families: metabolism	2601889.78	3710918.14	3842810.7	2530204.75	3181508.31	873045.7	2106842.3
09182 Protein families: genetic information processing	14740274.5	25995693.71	18787210.42	22632858.82	23116272.95	9078802.79	13278894.25
09183 Protein families: signaling and cellular processes	10980993.82	15132876.34	11110608.88	15112532.58	13305021.35	6247850.24	10658088.95
09191 Unclassified: metabolism	727016.87	1303705.28	868516.82	1308175.13	904427.72	520288.57	893715.93
09192 Unclassified: genetic information processing	117660.63	97143.5	210327.1	245862.8	150692.1	134185.86	179933.7
09193 Unclassified: signaling and cellular processes	166165.2	97811.4	59060.1	229874.58	354899.46	16200.99	92700.2
09194 Poorly characterized	8555.35	63791.69	73328.67	22625	45187.74	14891.19	18578.16
