KEGGcat	b14_27	b14_01	b14_02	b14_10	b14_20	b14_21	b14_24
09101 Carbohydrate metabolism	1209231.6	1429722.23	2587002.91	2734103.45	3163382.58	3075148.738	4675944.81
09102 Energy metabolism	553345.86	903593.11	625431.83	354373.64	441377.15	408344.658	628945.32
09103 Lipid metabolism	753591.54	957419.76	938273.68	1521296.88	760779.31	1438935.62	1411268.45
09104 Nucleotide metabolism	74144.23	54219.97	67655.72	59127.92	35708.45	155905.91	133738.59
09105 Amino acid metabolism	21476.84	24971.49	25564.14	69688.82	34407.02	49634.65	43203.74
09106 Metabolism of other amino acids	171709	68193.59	100106.76	288615.71	182907.88	618617.608	692709.69
09107 Glycan biosynthesis and metabolism	NA	15497.81	18532.3	12085	14548.7	11982.1	17513.1
09108 Metabolism of cofactors and vitamins	631673.17	590859.47	1002920.84	752472.63	743888.73	2998142.9	1549088.55
09109 Metabolism of terpenoids and polyketides	6117.64	3377.06	NA	8041.47	4788.8	3999.93	5291.87
09111 Xenobiotics biodegradation and metabolism	322966.24	72370.56	356171.07	229095.42	589532.95	187892.4	343046.88
09121 Transcription	10624.6	6605.29	8650.35	8635.91	NA	4119.37	20196
09122 Translation	61328.8	154563.1	29105.7	132858.16	26391.2	22834.17	62750.46
09123 Folding, sorting and degradation	10624.6	6605.29	8650.35	8635.91	NA	4119.37	20196
09132 Signal transduction	7772942.3	4850614.31	7306154.2	10324097.91	9707130.73	16001870.13	12297567.07
09133 Signaling molecules and interaction	1471114.06	339599.2	405145.5	1493577.91	342238.69	1531662.9	1916825.99
09141 Transport and catabolism	6476290.72	2813092.25	5390555.75	8550708.76	8633783.88	11919963.448	9610759.62
09142 Cell motility	131458.2	77305.6	148978.24	26012.5	72484.33	78892.44	96582.07
09143 Cell growth and death	206685.5	352428.13	371969.36	168242.41	259429.8	141044.93	285078.78
09144 Cellular community - eukaryotes	251489.67	145261.45	213424.54	79366.99	143161.46	165610.25	187029.19
09145 Cellular community - prokaryotes	61535.1	63217.4	63617.5	51045.3	53503.8	29278.2	69673
09149 Aging	10624.6	6605.29	8650.35	8635.91	9079.13	14275.37	31220.1
09151 Immune system	10813986.12	3948702.2	8958136.48	11375278.43	15705551.29	15987463.42	13410539.52
09152 Endocrine system	1710604.39	871698.85	1061130.91	1446087.34	1658180.02	3390708.93	2680657.85
09153 Circulatory system	597444	675255.83	796464.12	1009665.09	623095.89	881139.7	925598.44
09154 Digestive system	16642384.5	14199634.21	18079356.09	21107207.11	29108977.58	37295076.95	38986677.3
09155 Excretory system	72595.4	57259.84	56060.97	41096.19	27737.24	101242	73020.2
09156 Nervous system	65448.6	1858.08	40153.68	14581.7	50018.27	44762.39	39952.36
09157 Sensory system	40633.2	NA	21644.26	20424.2	32500.92	21172.16	22784.08
09158 Development and regeneration	NA	NA	8875.18	NA	5924.41	2297.78	5710.88
09159 Environmental adaptation	162541.2	57919.78	168567.23	77562.3	131096.1	65041.75	133539.98
09161 Cancer: overview	6762883.26	2964290.79	5671768.81	8603382.97	8864669.28	12073286.798	9839523.72
09162 Cancer: specific types	757007	520832.5	869051.49	814814	1118529.77	484869.74	963810.65
09163 Immune disease	6221573.76	2806120.6	5155042.05	8387096.2	8107401.35	11927174.22	9415829.93
09164 Neurodegenerative disease	609693.07	961468.66	799562.72	497078.69	571968.18	743893.1	827458.12
09165 Substance dependence	29688.5	7705.58	26876.5	14581.7	31549.33	18530.64	26720.47
09166 Cardiovascular disease	6735845.2	3746623.82	5778954.37	8820852.92	8810427.53	12759490.31	10252103.99
09167 Endocrine and metabolic disease	6285872.54	2768038.86	5045946.46	8425614.21	8153570.4	12249307.07	9443683.68
09171 Infectious disease: bacterial	7195102.17	3838405.09	5941011.46	8975547.28	8851833.4	12739674.66	10304378.12
09172 Infectious disease: viral	7742499.7	3345528.43	5450161.08	9926319.52	8572924.18	13459545.68	11447426.63
09174 Infectious disease: parasitic	6983743.26	4288567.21	6234064.79	9425091.11	9129690.21	13191998.91	10908085.87
09175 Drug resistance: antimicrobial	NA	NA	NA	NA	NA	6658.69	NA
09176 Drug resistance: antineoplastic	NA	3963.08	4779.69	3330.4	10013.1	NA	3516.76
09181 Protein families: metabolism	18157776.86	16131821.54	18182467.18	20102025.04	29009149.77	33616577.81	37125647.22
09182 Protein families: genetic information processing	8912247.48	5820695.3	7805689.28	12268698.43	10645737.12	20296302.29	15768154.51
09183 Protein families: signaling and cellular processes	14741657.87	9901600.82	13817826.51	13278004.07	17249569.12	22297916.92	17817414.06
09191 Unclassified: metabolism	36847.7	26074.83	39982.72	15596.7	8132.75	38717.7	37850.2
09193 Unclassified: signaling and cellular processes	1055468.4	438709.2	1213928.87	1184516.7	820660.8	5178422	1958505.57
