KEGGcat	F3NL2582	F3NL0496	F3NL1002	F2NL4627	F2NL2504
09101 Carbohydrate metabolism	1429722.23	2587002.91	2734103.45	3163382.58	3075148.738
09102 Energy metabolism	903593.11	625431.83	354373.64	441377.15	408344.658
09103 Lipid metabolism	957419.76	938273.68	1521296.88	760779.31	1438935.62
09104 Nucleotide metabolism	54219.97	67655.72	59127.92	35708.45	155905.91
09105 Amino acid metabolism	24971.49	25564.14	69688.82	34407.02	49634.65
09106 Metabolism of other amino acids	68193.59	100106.76	288615.71	182907.88	618617.608
09107 Glycan biosynthesis and metabolism	15497.81	18532.3	12085	14548.7	11982.1
09108 Metabolism of cofactors and vitamins	590859.47	1002920.84	752472.63	743888.73	2998142.9
09109 Metabolism of terpenoids and polyketides	3377.06	NA	8041.47	4788.8	3999.93
09111 Xenobiotics biodegradation and metabolism	72370.56	356171.07	229095.42	589532.95	187892.4
09121 Transcription	6605.29	8650.35	8635.91	NA	4119.37
09122 Translation	154563.1	29105.7	132858.16	26391.2	22834.17
09123 Folding, sorting and degradation	6605.29	8650.35	8635.91	NA	4119.37
09132 Signal transduction	4850614.31	7306154.2	10324097.91	9707130.73	16001870.13
09133 Signaling molecules and interaction	339599.2	405145.5	1493577.91	342238.69	1531662.9
09141 Transport and catabolism	2813092.25	5390555.75	8550708.76	8633783.88	11919963.448
09142 Cell motility	77305.6	148978.24	26012.5	72484.33	78892.44
09143 Cell growth and death	352428.13	371969.36	168242.41	259429.8	141044.93
09144 Cellular community - eukaryotes	145261.45	213424.54	79366.99	143161.46	165610.25
09145 Cellular community - prokaryotes	63217.4	63617.5	51045.3	53503.8	29278.2
09149 Aging	6605.29	8650.35	8635.91	9079.13	14275.37
09151 Immune system	3948702.2	8958136.48	11375278.43	15705551.29	15987463.42
09152 Endocrine system	871698.85	1061130.91	1446087.34	1658180.02	3390708.93
09153 Circulatory system	675255.83	796464.12	1009665.09	623095.89	881139.7
09154 Digestive system	14199634.21	18079356.09	21107207.11	29108977.58	37295076.95
09155 Excretory system	57259.84	56060.97	41096.19	27737.24	101242
09156 Nervous system	1858.08	40153.68	14581.7	50018.27	44762.39
09157 Sensory system	NA	21644.26	20424.2	32500.92	21172.16
09158 Development and regeneration	NA	8875.18	NA	5924.41	2297.78
09159 Environmental adaptation	57919.78	168567.23	77562.3	131096.1	65041.75
09161 Cancer: overview	2964290.79	5671768.81	8603382.97	8864669.28	12073286.798
09162 Cancer: specific types	520832.5	869051.49	814814	1118529.77	484869.74
09163 Immune disease	2806120.6	5155042.05	8387096.2	8107401.35	11927174.22
09164 Neurodegenerative disease	961468.66	799562.72	497078.69	571968.18	743893.1
09165 Substance dependence	7705.58	26876.5	14581.7	31549.33	18530.64
09166 Cardiovascular disease	3746623.82	5778954.37	8820852.92	8810427.53	12759490.31
09167 Endocrine and metabolic disease	2768038.86	5045946.46	8425614.21	8153570.4	12249307.07
09171 Infectious disease: bacterial	3838405.09	5941011.46	8975547.28	8851833.4	12739674.66
09172 Infectious disease: viral	3345528.43	5450161.08	9926319.52	8572924.18	13459545.68
09174 Infectious disease: parasitic	4288567.21	6234064.79	9425091.11	9129690.21	13191998.91
09175 Drug resistance: antimicrobial	NA	NA	NA	NA	6658.69
09176 Drug resistance: antineoplastic	3963.08	4779.69	3330.4	10013.1	NA
09181 Protein families: metabolism	16131821.54	18182467.18	20102025.04	29009149.77	33616577.81
09182 Protein families: genetic information processing	5820695.3	7805689.28	12268698.43	10645737.12	20296302.29
09183 Protein families: signaling and cellular processes	9901600.82	13817826.51	13278004.07	17249569.12	22297916.92
09191 Unclassified: metabolism	26074.83	39982.72	15596.7	8132.75	38717.7
09193 Unclassified: signaling and cellular processes	438709.2	1213928.87	1184516.7	820660.8	5178422
