KEGGcat	F3NL2582	F3NL0496	F3NL1002	F2NL4627	F2NL2504
09101 Carbohydrate metabolism	17235626.48	19880117.95	15136524.31	15402549.02	6420433.39
09102 Energy metabolism	16659135.25	15298957.66	15238842.11	14889369.24	6175959.11
09103 Lipid metabolism	503030.79	388395.41	357482.69	648188.87	260734.85
09104 Nucleotide metabolism	2881181.79	2338927.07	2736056.39	2050942.75	988915.4
09105 Amino acid metabolism	5200603.71	4509958.01	5241182.56	5059527.75	2272501.89
09106 Metabolism of other amino acids	576887.74	423243.96	783553.52	736096.41	303354.54
09107 Glycan biosynthesis and metabolism	479046.87	815656.72	446696.98	574747.76	294398.19
09108 Metabolism of cofactors and vitamins	1282050.56	1347716.19	1796298.32	1208368.88	694443.81
09109 Metabolism of terpenoids and polyketides	248012.04	462177.46	273600.74	419075.53	140711.14
09110 Biosynthesis of other secondary metabolites	879695.69	1015929.77	775954.77	839944.78	377498.6
09111 Xenobiotics biodegradation and metabolism	2029822.28	1405691.13	1659175.25	1367126.91	711571.06
09121 Transcription	1468272.4	1308752.8	934527.78	1257329.1	357377.57
09122 Translation	12777218.21	8971587.71	10601698.92	11347880.29	4167331.87
09123 Folding, sorting and degradation	3348245.33	3028364.35	3435818.42	2984145.79	798718
09124 Replication and repair	70139.71	57318.36	67500.85	66426.88	14229.36
09131 Membrane transport	1617336.64	1109130.45	1917319.35	1229426.72	200498.9
09132 Signal transduction	2914335.97	2209697.49	2680884.66	2294522.5	1467456.81
09141 Transport and catabolism	57844.24	94082.18	35156.64	NA	77311.13
09142 Cell motility	1210731.17	1060934.25	1777566.36	1196106.6	920654.78
09143 Cell growth and death	883170.1	734937.3	678372.8	671136.22	324490.68
09145 Cellular community - prokaryotes	442430.6	536412.7	387739.5	424958.93	141712.49
09149 Aging	1989087.83	2047561.45	2566418.41	2093056.76	638220.24
09151 Immune system	826962.15	204722.71	932210.8	601151.44	938538.16
09152 Endocrine system	763285.2	819014.4	608414.95	817971.84	151046.1
09154 Digestive system	16543.8	44726.6	13589.6	16071.6	3183.53
09155 Excretory system	18315.3	NA	10095.7	59635.1	7985.55
09156 Nervous system	320697.1	320748.1	393114.6	202682.78	242773
09159 Environmental adaptation	6723776.41	3500607.61	6381971.9	6180107.5	4090794.95
09161 Cancer: overview	465492.64	602648.98	483255.5	501329.64	115441.56
09162 Cancer: specific types	83731.1	43798.1	37685	89258.34	22214.56
09164 Neurodegenerative disease	895609.58	720478.94	218145.6	663246.08	37690.48
09166 Cardiovascular disease	1813887.21	1272406.69	1429107.68	1355834.72	209857.86
09167 Endocrine and metabolic disease	1020883.87	720433.86	1287587.71	872900.81	205252.79
09171 Infectious disease: bacterial	4436426.53	2908108.2	4013308.21	3327283.91	1933898.59
09174 Infectious disease: parasitic	293873	154236	179404	428660	129394
09175 Drug resistance: antimicrobial	23444.2	15416.9	40826.6	6814.8	39462.95
09176 Drug resistance: antineoplastic	29482.6	17267.5	56138.3	33311.3	34764.42
09181 Protein families: metabolism	3710918.14	3842810.7	2530204.75	3181508.31	873045.7
09182 Protein families: genetic information processing	25995693.71	18787210.42	22632858.82	23116272.95	9078802.79
09183 Protein families: signaling and cellular processes	15132876.34	11110608.88	15112532.58	13305021.35	6247850.24
09191 Unclassified: metabolism	1303705.28	868516.82	1308175.13	904427.72	520288.57
09192 Unclassified: genetic information processing	97143.5	210327.1	245862.8	150692.1	134185.86
09193 Unclassified: signaling and cellular processes	97811.4	59060.1	229874.58	354899.46	16200.99
09194 Poorly characterized	63791.69	73328.67	22625	45187.74	14891.19
