KEGGcat	F3NL2582	F3NL0496	F3NL1002	F2NL4627	F2NL2504
09101 Carbohydrate metabolism	18665348.71	22467120.86	17870627.76	18565931.6	9495582.128
09102 Energy metabolism	17562728.36	15924389.49	15593215.75	15330746.39	6584303.768
09103 Lipid metabolism	1460450.55	1326669.09	1878779.57	1408968.18	1699670.47
09104 Nucleotide metabolism	2935401.76	2406582.79	2795184.31	2086651.2	1144821.31
09105 Amino acid metabolism	5225575.2	4535522.15	5310871.38	5093934.77	2322136.54
09106 Metabolism of other amino acids	645081.33	523350.72	1072169.23	919004.29	921972.148
09107 Glycan biosynthesis and metabolism	494544.68	834189.02	458781.98	589296.46	306380.29
09108 Metabolism of cofactors and vitamins	1872910.03	2350637.03	2548770.95	1952257.61	3692586.71
09109 Metabolism of terpenoids and polyketides	251389.1	462177.46	281642.21	423864.33	144711.07
09110 Biosynthesis of other secondary metabolites	879695.69	1015929.77	775954.77	839944.78	377498.6
09111 Xenobiotics biodegradation and metabolism	2102192.84	1761862.2	1888270.67	1956659.86	899463.46
09121 Transcription	1474877.69	1317403.15	943163.69	1257329.1	361496.94
09122 Translation	12931781.31	9000693.41	10734557.08	11374271.49	4190166.04
09123 Folding, sorting and degradation	3354850.62	3037014.7	3444454.33	2984145.79	802837.37
09124 Replication and repair	70139.71	57318.36	67500.85	66426.88	14229.36
09131 Membrane transport	1617336.64	1109130.45	1917319.35	1229426.72	200498.9
09132 Signal transduction	7764950.28	9515851.69	13004982.57	12001653.23	17469326.94
09133 Signaling molecules and interaction	339599.2	405145.5	1493577.91	342238.69	1531662.9
09141 Transport and catabolism	2870936.49	5484637.93	8585865.4	8633783.88	11997274.578
09142 Cell motility	1288036.77	1209912.49	1803578.86	1268590.93	999547.22
09143 Cell growth and death	1235598.23	1106906.66	846615.21	930566.02	465535.61
09144 Cellular community - eukaryotes	145261.45	213424.54	79366.99	143161.46	165610.25
09145 Cellular community - prokaryotes	505648	600030.2	438784.8	478462.73	170990.69
09149 Aging	1995693.12	2056211.8	2575054.32	2102135.89	652495.61
09151 Immune system	4775664.35	9162859.19	12307489.23	16306702.73	16926001.58
09152 Endocrine system	1634984.05	1880145.31	2054502.29	2476151.86	3541755.03
09153 Circulatory system	675255.83	796464.12	1009665.09	623095.89	881139.7
09154 Digestive system	14216178.01	18124082.69	21120796.71	29125049.18	37298260.48
09155 Excretory system	75575.14	56060.97	51191.89	87372.34	109227.55
09156 Nervous system	322555.18	360901.78	407696.3	252701.05	287535.39
09157 Sensory system	NA	21644.26	20424.2	32500.92	21172.16
09158 Development and regeneration	NA	8875.18	NA	5924.41	2297.78
09159 Environmental adaptation	6781696.19	3669174.84	6459534.2	6311203.6	4155836.7
09161 Cancer: overview	3429783.43	6274417.79	9086638.47	9365998.92	12188728.358
09162 Cancer: specific types	604563.6	912849.59	852499	1207788.11	507084.3
09163 Immune disease	2806120.6	5155042.05	8387096.2	8107401.35	11927174.22
09164 Neurodegenerative disease	1857078.24	1520041.66	715224.29	1235214.26	781583.58
09165 Substance dependence	7705.58	26876.5	14581.7	31549.33	18530.64
09166 Cardiovascular disease	5560511.03	7051361.06	10249960.6	10166262.25	12969348.17
09167 Endocrine and metabolic disease	3788922.73	5766380.32	9713201.92	9026471.21	12454559.86
09171 Infectious disease: bacterial	8274831.62	8849119.66	12988855.49	12179117.31	14673573.25
09172 Infectious disease: viral	3345528.43	5450161.08	9926319.52	8572924.18	13459545.68
09174 Infectious disease: parasitic	4582440.21	6388300.79	9604495.11	9558350.21	13321392.91
09175 Drug resistance: antimicrobial	23444.2	15416.9	40826.6	6814.8	46121.64
09176 Drug resistance: antineoplastic	33445.68	22047.19	59468.7	43324.4	34764.42
09181 Protein families: metabolism	19842739.68	22025277.88	22632229.79	32190658.08	34489623.51
09182 Protein families: genetic information processing	31816389.01	26592899.7	34901557.25	33762010.07	29375105.08
09183 Protein families: signaling and cellular processes	25034477.16	24928435.39	28390536.65	30554590.47	28545767.16
09191 Unclassified: metabolism	1329780.11	908499.54	1323771.83	912560.47	559006.27
09192 Unclassified: genetic information processing	97143.5	210327.1	245862.8	150692.1	134185.86
09193 Unclassified: signaling and cellular processes	536520.6	1272988.97	1414391.28	1175560.26	5194622.99
09194 Poorly characterized	63791.69	73328.67	22625	45187.74	14891.19
