KEGGcat	b14_27	b14_01	b14_02	b14_10	b14_20	b14_21	b14_24
09101 Carbohydrate metabolism	12000369.05	18665348.71	22467120.86	17870627.76	18565931.6	9495582.128	16254858.28
09102 Energy metabolism	12149450.32	17562728.36	15924389.49	15593215.75	15330746.39	6584303.768	12073106.05
09103 Lipid metabolism	1150596.96	1460450.55	1326669.09	1878779.57	1408968.18	1699670.47	1840083.69
09104 Nucleotide metabolism	1486166.7	2935401.76	2406582.79	2795184.31	2086651.2	1144821.31	1839190.65
09105 Amino acid metabolism	4735110.19	5225575.2	4535522.15	5310871.38	5093934.77	2322136.54	4525698.82
09106 Metabolism of other amino acids	690476.56	645081.33	523350.72	1072169.23	919004.29	921972.148	1174698.05
09107 Glycan biosynthesis and metabolism	302292.08	494544.68	834189.02	458781.98	589296.46	306380.29	482908
09108 Metabolism of cofactors and vitamins	1501886.43	1872910.03	2350637.03	2548770.95	1952257.61	3692586.71	2433328.59
09109 Metabolism of terpenoids and polyketides	204054.55	251389.1	462177.46	281642.21	423864.33	144711.07	293975.85
09110 Biosynthesis of other secondary metabolites	638831.96	879695.69	1015929.77	775954.77	839944.78	377498.6	605079.94
09111 Xenobiotics biodegradation and metabolism	1278737.66	2102192.84	1761862.2	1888270.67	1956659.86	899463.46	1618522.07
09121 Transcription	952666.64	1474877.69	1317403.15	943163.69	1257329.1	361496.94	810534.08
09122 Translation	5886206.71	12931781.31	9000693.41	10734557.08	11374271.49	4190166.04	5518703.54
09123 Folding, sorting and degradation	2595356.38	3354850.62	3037014.7	3444454.33	2984145.79	802837.37	1958528.52
09124 Replication and repair	32990.43	70139.71	57318.36	67500.85	66426.88	14229.36	27151.28
09131 Membrane transport	802866.7	1617336.64	1109130.45	1917319.35	1229426.72	200498.9	1128161.26
09132 Signal transduction	10829245.41	7764950.28	9515851.69	13004982.57	12001653.23	17469326.94	14862734.47
09133 Signaling molecules and interaction	1471114.06	339599.2	405145.5	1493577.91	342238.69	1531662.9	1916825.99
09141 Transport and catabolism	6546240.47	2870936.49	5484637.93	8585865.4	8633783.88	11997274.578	9696982.85
09142 Cell motility	1840780.8	1288036.77	1209912.49	1803578.86	1268590.93	999547.22	1510979.19
09143 Cell growth and death	1107742.15	1235598.23	1106906.66	846615.21	930566.02	465535.61	1024213.79
09144 Cellular community - eukaryotes	251489.67	145261.45	213424.54	79366.99	143161.46	165610.25	187029.19
09145 Cellular community - prokaryotes	308095.56	505648	600030.2	438784.8	478462.73	170990.69	330549.36
09149 Aging	1805723.05	1995693.12	2056211.8	2575054.32	2102135.89	652495.61	1376061.75
09151 Immune system	12090776.51	4775664.35	9162859.19	12307489.23	16306702.73	16926001.58	14427916.46
09152 Endocrine system	2146788.94	1634984.05	1880145.31	2054502.29	2476151.86	3541755.03	3117811.76
09153 Circulatory system	597444	675255.83	796464.12	1009665.09	623095.89	881139.7	925598.44
09154 Digestive system	16651952.26	14216178.01	18124082.69	21120796.71	29125049.18	37298260.48	38997240.7
09155 Excretory system	90944.9	75575.14	56060.97	51191.89	87372.34	109227.55	84340.6
09156 Nervous system	728880.4	322555.18	360901.78	407696.3	252701.05	287535.39	571862.26
09157 Sensory system	40633.2	NA	21644.26	20424.2	32500.92	21172.16	22784.08
09158 Development and regeneration	NA	NA	8875.18	NA	5924.41	2297.78	5710.88
09159 Environmental adaptation	5413084.79	6781696.19	3669174.84	6459534.2	6311203.6	4155836.7	5045919.34
09161 Cancer: overview	7136094.3	3429783.43	6274417.79	9086638.47	9365998.92	12188728.358	10155606.32
09162 Cancer: specific types	762303.99	604563.6	912849.59	852499	1207788.11	507084.3	991217.75
09163 Immune disease	6221573.76	2806120.6	5155042.05	8387096.2	8107401.35	11927174.22	9415829.93
09164 Neurodegenerative disease	1184235.28	1857078.24	1520041.66	715224.29	1235214.26	781583.58	1189733.23
09165 Substance dependence	29688.5	7705.58	26876.5	14581.7	31549.33	18530.64	26720.47
09166 Cardiovascular disease	8251942.45	5560511.03	7051361.06	10249960.6	10166262.25	12969348.17	11122977.49
09167 Endocrine and metabolic disease	7282303.91	3788922.73	5766380.32	9713201.92	9026471.21	12454559.86	10000245.58
09171 Infectious disease: bacterial	11283415.64	8274831.62	8849119.66	12988855.49	12179117.31	14673573.25	13364889.72
09172 Infectious disease: viral	7742499.7	3345528.43	5450161.08	9926319.52	8572924.18	13459545.68	11447426.63
09174 Infectious disease: parasitic	7152504.26	4582440.21	6388300.79	9604495.11	9558350.21	13321392.91	11125627.87
09175 Drug resistance: antimicrobial	NA	23444.2	15416.9	40826.6	6814.8	46121.64	52241.53
09176 Drug resistance: antineoplastic	40826.9	33445.68	22047.19	59468.7	43324.4	34764.42	41581.96
09181 Protein families: metabolism	20759666.64	19842739.68	22025277.88	22632229.79	32190658.08	34489623.51	39232489.52
09182 Protein families: genetic information processing	23652521.98	31816389.01	26592899.7	34901557.25	33762010.07	29375105.08	29047048.76
09183 Protein families: signaling and cellular processes	25722651.69	25034477.16	24928435.39	28390536.65	30554590.47	28545767.16	28475503.01
09191 Unclassified: metabolism	763864.57	1329780.11	908499.54	1323771.83	912560.47	559006.27	931566.13
09192 Unclassified: genetic information processing	117660.63	97143.5	210327.1	245862.8	150692.1	134185.86	179933.7
09193 Unclassified: signaling and cellular processes	1221633.6	536520.6	1272988.97	1414391.28	1175560.26	5194622.99	2051205.77
09194 Poorly characterized	8555.35	63791.69	73328.67	22625	45187.74	14891.19	18578.16
