COGnum	b14_27
COG4934	7555.33
KOG0027	61497
KOG0030	41659.9
KOG0034	8352.87
KOG0035	53105.8
KOG0045	5244.08
KOG0085	20885.5
KOG0092	30438.6
KOG0101	10624.6
KOG0161	177235.3
KOG0382	16938.5
KOG0395	14874.6
KOG0443	8114.59
KOG0460	11967.2
KOG0488	24812.9
KOG0613	23350.2
KOG0657	276897.5
KOG0676	10944.7
KOG0806	10661.7
KOG0819	483401.53
KOG0877	22131.6
KOG0888	13427.6
KOG0918	25100.7
KOG0960	12268.6
KOG1046	153029
KOG1065	123046.3
KOG1097	26805.5
KOG1216	1319264.82
KOG1353	97672.2
KOG1366	9807.66
KOG1375	8315.17
KOG1516	92942.4
KOG1526	12562.36
KOG1557	27334.5
KOG1643	114260
KOG1704	106204
KOG1745	814718
KOG1756	814718
KOG2099	61535.1
KOG2100	23673.1
KOG2212	567144
KOG2220	22992.4
KOG2275	15359.2
KOG2322	16305.9
KOG2323	23105.8
KOG2332	74035.9
KOG2392	510637.3
KOG2408	357415.2
KOG2413	449891
KOG2456	6117.64
KOG2645	241993.9
KOG2650	4309431
KOG3006	7891.63
KOG3126	30481.3
KOG3283	39197.2
KOG3378	62282.1
KOG3467	814718
KOG3529	67407.7
KOG3544	36970.3
KOG3557	33332.7
KOG3581	172434
KOG3587	52747.5
KOG3594	362278.79
KOG3624	90523.5
KOG3627	11869937.19
KOG3690	41717.6
KOG3714	257679
KOG3770	36847.7
KOG3774	17394.4
KOG3927	25218.3
KOG3977	64248.4
KOG4087	439454.5
KOG4126	580982.7
KOG4127	337360
KOG4297	383354
KOG4419	6994.23
KOG4475	23350.2
