KEGGnum	b14_27
K00008	53554.8
K00012	10952.5
K00024	131170
K00027	7501.4
K00029	59840.8
K00031	50789.21
K00040	48573.4
K00048	92393.4
K00053	168939
K00059	76210.5
K00067	18196.5
K00088	565331.6
K00128	10080.1
K00133	81274.4
K00134	785645.41
K00175	4055.58
K00208	19655.4
K00239	448198.9
K00240	92880.4
K00248	39404.9
K00262	2476801.5
K00266	105162.7
K00290	87668.2
K00335	12279.2
K00346	174111.03
K00351	145378.2
K00414	12268.6
K00522	53092.2
K00525	17241.3
K00602	40826.9
K00609	68573.5
K00615	1506.61
K00616	118696.3
K00625	208901.1
K00626	9567.76
K00652	12157.1
K00656	1030528.11
K00688	120650.96
K00761	41589.8
K00767	7775.52
K00789	36380.4
K00826	117641.58
K00831	67812.6
K00848	8822.32
K00849	28347.68
K00850	293581.4
K00873	23105.8
K00874	6125.32
K00895	24772.24
K00925	218547.51
K00927	119503.75
K00939	37874.9
K00940	13427.6
K00962	154301.9
K00973	104517
K00975	46922.4
K01006	1940972.7
K01047	439454.5
K01077	580982.7
K01128	36847.7
K01176	567144
K01222	5820.62
K01273	337360
K01278	23673.1
K01279	7555.33
K01283	41717.6
K01291	3823890
K01298	125763
K01310	246515
K01311	2934230
K01312	1374726
K01319	8596.76
K01327	27303
K01345	7051635
K01346	123601
K01352	11835.1
K01361	10647.4
K01389	90523.5
K01395	229765
K01428	72397.2
K01462	5703.09
K01465	48169.9
K01478	7133.28
K01488	26805.5
K01513	26916.9
K01523	6245.15
K01540	25218.3
K01571	150799.02
K01596	18349.5
K01604	46411.5
K01610	518047.02
K01623	27334.5
K01624	800936.8
K01625	8479.26
K01681	28746
K01689	107033.9
K01710	42874.68
K01711	36154.7
K01715	47581.8
K01740	84240.1
K01784	40561.9
K01790	17311.9
K01803	265380.37
K01804	10565.6
K01808	6166.19
K01810	75372.5
K01812	84780.4
K01818	385942
K01835	11785.7
K01847	22476.2
K01848	44053.5
K01868	93399.52
K01869	41998.4
K01870	4013.05
K01872	29181.4
K01874	9724.74
K01875	118768.8
K01876	31924
K01880	427145.4
K01885	18812.6
K01887	15962.7
K01892	25288.4
K01893	73142.18
K01915	663431.8
K01923	56679.95
K01933	29041.3
K01937	17388.6
K01938	240274.7
K01939	15439.3
K01940	21254.5
K01945	31303.5
K01951	64580.9
K01952	84683.7
K01953	24431.5
K01955	95263.32
K02030	8827.82
K02078	79443.4
K02111	300926.5
K02112	513252
K02118	42156.5
K02132	133778
K02183	29688.5
K02190	47637.6
K02338	5087.67
K02355	523009.97
K02356	8312.59
K02358	3949614.6
K02390	22260.9
K02406	1271493.4
K02431	99058.1
K02477	4384.88
K02519	15003.9
K02557	72956.3
K02564	18034.8
K02600	20331
K02669	11498.5
K02745	22709.7
K02804	55845
K02838	12880.7
K02863	172288.2
K02867	292568
K02871	25479.8
K02874	42872.3
K02876	223397.7
K02878	18206.5
K02881	26914.2
K02884	59681.9
K02886	366404.6
K02888	6026.06
K02890	416328
K02892	1462.28
K02895	23494.5
K02904	65030.2
K02906	181325
K02909	44909.1
K02926	45090.3
K02931	153744.6
K02935	411247.2
K02946	30145.6
K02948	92356.5
K02950	752766
K02952	25687.6
K02961	4725.51
K02965	91426.2
K02967	35874.6
K02970	4073.37
K02981	22131.6
K02982	319176
K02986	111696.4
K02988	114548.8
K02992	191232.8
K02994	389368.9
K02995	39197.2
K02996	37641.8
K03040	125649
K03043	410886.8
K03046	405506.24
K03070	97688.3
K03076	42833.9
K03100	11977.7
K03111	7599.86
K03147	10632.4
K03283	10624.6
K03286	24129.5
K03307	21702.7
K03310	18663.7
K03442	10533.1
K03521	98631.5
K03531	173212
K03545	56935.1
K03553	20302.9
K03569	58186.6
K03612	7807.54
K03615	13482.6
K03628	6700.9
K03654	8133.94
K03695	45035.3
K03704	21283.5
K03718	6199.77
K03737	1268177.3
K03768	20092.8
