COGnum	b14_24
COG0008	19736.9
COG0013	26689.65
COG0015	3240.12
COG0016	10382.3
COG0017	133592.9
COG0028	5699.47
COG0035	19269.1
COG0039	240073.5
COG0044	44239.2
COG0046	171142
COG0047	171142
COG0048	615133
COG0049	162293.33
COG0050	3863314.32
COG0051	27181.1
COG0052	81342.5
COG0055	404340.15
COG0056	212498.5
COG0057	362275.11
COG0058	79136.91
COG0059	245107
COG0060	4165.5
COG0073	14953.7
COG0078	23396.1
COG0080	364412.42
COG0081	76538.1
COG0085	313159.68
COG0086	369521.4
COG0087	167981.8
COG0088	50375.2
COG0089	7993.58
COG0090	235784.82
COG0091	464205
COG0092	246310
COG0093	20903.46
COG0094	244025.1
COG0096	385849
COG0097	14908.8
COG0098	181492.2
COG0099	18111.43
COG0100	23647.47
COG0102	62076.6
COG0103	14481.7
COG0104	34487
COG0105	3008.49
COG0115	59280.3
COG0124	15577.8
COG0126	225516.9
COG0136	97011.5
COG0137	15086.7
COG0138	49615.7
COG0141	4773.48
COG0143	14953.7
COG0148	67675.6
COG0149	153958.38
COG0150	25129.6
COG0151	9645.87
COG0152	62942.62
COG0153	19088.7
COG0157	7626.26
COG0162	13635
COG0166	141872.2
COG0172	79887.12
COG0173	22912.76
COG0176	101692.2
COG0180	12367.7
COG0183	10563.4
COG0185	59437.8
COG0186	7002.12
COG0188	41277.5
COG0191	796694
COG0192	13590.8
COG0197	5272.91
COG0198	26275.1
COG0200	100454.72
COG0201	15348
COG0202	107657
COG0205	368386.4
COG0206	79126.8
COG0209	8641.29
COG0222	586517.1
COG0231	13293.3
COG0236	24792.9
COG0242	13030.76
COG0246	44251.6
COG0250	2282.39
COG0254	23848.9
COG0255	87812.86
COG0256	29579.1
COG0261	9929.41
COG0264	49674.65
COG0280	253415.8
COG0281	44725.19
COG0282	155300.69
COG0295	7592.2
COG0326	27407.1
COG0329	9330.26
COG0330	27783.29
COG0334	2267227.87
COG0335	97557.4
COG0343	6530.37
COG0348	18753.1
COG0351	17281.3
COG0360	2554.91
COG0363	11661.1
COG0366	47613.42
COG0367	6742.93
COG0371	13718.8
COG0396	23014.8
COG0411	6485.21
COG0422	17281.3
COG0423	254207.3
COG0426	51753.83
COG0427	17915.2
COG0440	14527.3
COG0441	47720.21
COG0442	14962.9
COG0443	821079.96
COG0448	43886.3
COG0457	27813
COG0458	55418.08
COG0459	466104.59
COG0460	16613.8
COG0466	21554.3
COG0468	20321.1
COG0474	10665
COG0479	127199.27
COG0480	380632.73
COG0493	80977.4
COG0495	58844.4
COG0503	5625.19
COG0504	31264
COG0505	3266.95
COG0514	5902.23
COG0516	843586.7
COG0517	843586.7
COG0519	59374
COG0522	142040.8
COG0524	10800.2
COG0527	16613.8
COG0532	16125.3
COG0538	17302.5
COG0540	53222.2
COG0541	10025.61
COG0542	57657.1
COG0544	114740
COG0554	31688.1
COG0561	9636
COG0562	8387.03
COG0563	51121.57
COG0566	1655.88
COG0568	2676.97
COG0574	1720138.3
COG0592	6830.18
COG0595	30819.7
COG0620	12420.1
COG0623	18083.1
COG0636	9571.58
COG0641	7587.46
COG0652	32418.2
COG0653	53752.8
COG0673	11532.2
COG0674	1117514.7
COG0681	9728.52
COG0696	15306.6
COG0698	9188.65
COG0702	30806.9
COG0745	58480.96
COG0760	26191
COG0800	20290.3
COG0804	71583.6
COG0822	809693.74
COG0823	36473.6
COG0828	12897.61
COG0834	9021.7
COG0840	1965.31
COG1004	7397.71
COG1012	255116.23
COG1013	1117514.7
COG1014	1117514.7
COG1024	43309.7
COG1028	76532.1
COG1048	26912.6
COG1053	322091.4
COG1063	106211.6
COG1070	26892.87
COG1077	72202
COG1080	1723209.2
COG1082	146883.9
COG1087	63447.99
COG1088	91483.7
COG1089	26969.7
COG1091	33619.9
COG1105	21534.5
COG1109	23689.41
COG1115	11824
COG1129	98024.62
COG1132	5069.4
COG1136	5555.59
COG1143	142734
COG1145	631759.2
COG1155	4569.45
COG1156	26424.3
COG1158	19294.61
COG1160	4064.69
COG1167	188115
COG1185	126126.2
COG1190	70089.59
COG1196	99499.9
COG1209	154303.1
COG1212	21526
COG1236	50997.7
COG1256	95544.1
COG1263	25605.3
COG1264	25605.3
COG1274	11320.4
COG1278	14196
COG1328	9098.87
COG1344	989969.84
COG1350	11119.3
COG1362	148144
COG1395	46531.8
COG1404	16148.7
COG1418	13694.6
COG1454	677832.9
COG1461	2086.61
COG1472	1445.17
COG1486	17051.1
COG1493	13280.8
COG1506	36473.6
COG1522	12812.7
COG1538	6423.13
COG1592	2446083.7
COG1629	84630.32
COG1640	5664.6
COG1652	5308.27
COG1653	284529.56
COG1702	36382.4
COG1726	215990.64
COG1748	26907.9
COG1749	37546
COG1773	178973.4
COG1840	7461.37
COG1853	62453.4
COG1866	1466591.8
COG1879	382239
COG1882	745353.22
COG1883	62224.8
COG1884	160775.4
COG1894	14821.65
COG1898	25539
COG1904	90040.6
COG1932	69920.16
COG1951	6749.92
COG1960	134168.8
COG1978	10714.4
COG2013	10592.5
COG2025	19013.45
COG2067	56391.9
COG2086	193158.3
COG2115	12978.8
COG2120	11661.1
COG2145	9844.18
COG2152	20390.6
COG2160	156300.9
COG2182	13343.66
COG2195	23939.2
COG2235	6049.56
COG2252	2143.73
COG2259	33503.1
COG2310	10792.6
COG2368	12365.8
COG2373	96997.2
COG2374	56059.9
COG2407	360596.1
COG2759	236053.9
COG2805	5616.02
COG2871	150360.1
COG2873	100276.7
COG2876	3004.2
COG2885	13086
COG2996	10990.7
COG3023	31002.6
COG3172	21077
COG3188	36475.5
COG3203	61083.8
COG3209	5749.02
COG3210	5671.6
COG3250	4035.14
COG3264	10976.1
COG3279	5679.47
COG3291	26904.8
COG3315	4147.05
COG3363	70798.8
COG3444	74793.1
COG3468	5908.94
COG3507	3833.7
COG3525	68920.73
COG3716	22992.2
COG3842	134174
COG3937	6544.27
COG3959	13409.98
COG3968	531909.9
COG3976	18753.1
COG4108	16290.9
COG4146	26525
COG4154	69173.2
COG4166	45818.4
COG4206	8717.23
COG4209	16144.3
COG4260	13035.5
COG4577	127524.9
COG4656	14314.75
COG4659	11853.8
COG4677	61368.17
COG4690	8668.51
COG4716	114758.3
COG4733	2103.41
COG4771	342704.66
COG4799	91228
COG4822	35098.2
COG4948	12371.5
COG5016	302304
COG5263	250855.7
COG5426	28548.34
COG5434	2103.41
COG5492	16148.7
COG5496	2525.66
COG5545	40148.1
KOG0001	43482.2
KOG0804	43482.2
arCOG12631	8435.55
