COGcat	F3NL2582	F3NL0496	F3NL1002	F2NL4627	F2NL2504
A	3614.26	NA	33845.9	25509.7	NA
B	4053085.58	3186784.9	1794240	1446212.63	1612198.94
C	779458.2	395483.4	250352.82	342321.12	245162.238
E	12026414.54	14958430.4	13024265.7	13975338.69	17467269.95
F	41794.87	48103.82	39322.62	19000.25	131792.71
G	1433080.55	2619501.95	2765169.54	3190712.94	3121751.66
H	3963.08	4779.69	3330.4	10013.1	NA
I	619580.7	655360.58	958139.1	519761.55	787687.95
J	154563.1	29105.7	132858.16	26391.2	24973.55
L	1505.73	6066.72	NA	NA	NA
M	1461.94	5353.55	2724.91	3039.69	5050.59
N	NA	NA	NA	NA	7272.34
O	559285.34	1288217.09	947291.39	1514990.62	1338441.58
P	921833.76	1281588.78	867732.86	933748.11	3031632.19
Q	NA	NA	NA	NA	19042.2
R	573538.49	1078606.25	990967.54	1072175.55	1036470.12
S	3536377.7	1652106.7	6251382.7	14073455.8	15024596.79
T	152339.54	434539.98	253850.38	260246.53	489683.99
U	380722.2	532539.16	331018.57	555734.67	905415.42
V	2151643.31	2727025.07	2225551	1877980.53	2265334.22
W	1696965.23	1757674.7	1541389.8	1506911.5	1529027.07
Z	533847.62	811406.3	416162.26	394262.3	369600.91
