name,NameNew,BatchID,Batch,Rep_label,Sample_label,SampleID,IndividualID,Time
E:\\GNHSF\N20210517liangs_GNHSF_b01_b02\N20210521liangs_GNHSF_b02_1_Slot2.25_1_5599.d,N20210521liangs_GNHSF_b02_1_Slot2-25_1_5599.d,b02_01,b02,,sample,F3NL1111,NL1111,F3
E:\\GNHSF\N20210517liangs_GNHSF_b01_b02\N20210521liangs_GNHSF_b02_2_Slot2.26_1_5600.d,N20210521liangs_GNHSF_b02_2_Slot2-26_1_5600.d,b02_02,b02,biorep,sample,F3NL1112,NL1112,F3
E:\\GNHSF\N20210517liangs_GNHSF_b01_b02\N20210521liangs_GNHSF_b02_4_Slot2.28_1_5602.d,N20210521liangs_GNHSF_b02_4_Slot2-28_1_5602.d,b02_04,b02,,sample,F2NL1113,NL1113,F2
E:\\GNHSF\N20210517liangs_GNHSF_b01_b02\N20210521liangs_GNHSF_b02_5_Slot2.29_1_5604.d,N20210521liangs_GNHSF_b02_5_Slot2-29_1_5604.d,b02_05,b02,,sample,F3NL1114,NL1114,F3
E:\\GNHSF\N20210517liangs_GNHSF_b01_b02\N20210521liangs_GNHSF_b02_6_Slot2.30_1_5605.d,N20210521liangs_GNHSF_b02_6_Slot2-30_1_5605.d,b02_06,b02,,sample,F3NL1115,NL1115,F3
E:\\GNHSF\N20210517liangs_GNHSF_b01_b02\N20210521liangs_GNHSF_b02_7_Slot2.31_1_5606.d,N20210521liangs_GNHSF_b02_7_Slot2-31_1_5606.d,b02_07,b02,,sample,F3NL1116,NL1116,F3
E:\\GNHSF\N20210517liangs_GNHSF_b01_b02\N20210521liangs_GNHSF_b02_8_Slot2.32_1_5607.d,N20210521liangs_GNHSF_b02_8_Slot2-32_1_5607.d,b02_08,b02,,sample,F2NL1117,NL1117,F2
E:\\GNHSF\N20210517liangs_GNHSF_b01_b02\N20210521liangs_GNHSF_b02_9_Slot2.33_1_5609.d,N20210521liangs_GNHSF_b02_9_Slot2-33_1_5609.d,b02_09,b02,,sample,F2NL1118,NL1118,F2
E:\\GNHSF\N20210517liangs_GNHSF_b01_b02\N20210521liangs_GNHSF_b02_10_Slot2.34_1_5610.d,N20210521liangs_GNHSF_b02_10_Slot2-34_1_5610.d,b02_10,b02,techrep,sample,F3NL1119,NL1119,F3
E:\\GNHSF\N20210517liangs_GNHSF_b01_b02\N20210521liangs_GNHSF_b02_11_Slot2.35_1_5611.d,N20210521liangs_GNHSF_b02_11_Slot2-35_1_5611.d,b02_11,b02,,sample,F2NL1120,NL1120,F2
