#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
1028307.EAE_00665	500640.CIT292_06012	0.0	915.0	COG0516,COG0517	1236|Gammaproteobacteria	F	Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth	guaB	GO:0003674,GO:0003824,GO:0003938,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006163,GO:0006164,GO:0006183,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009116,GO:0009117,GO:0009119,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009163,GO:0009165,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009314,GO:0009411,GO:0009416,GO:0009628,GO:0009987,GO:0016491,GO:0016614,GO:0016616,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0034404,GO:0034641,GO:0034654,GO:0042278,GO:0042451,GO:0042455,GO:0042802,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046039,GO:0046128,GO:0046129,GO:0046390,GO:0046483,GO:0050896,GO:0055086,GO:0055114,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:1901068,GO:1901070,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659	1.1.1.205	ko:K00088	ko00230,ko00983,ko01100,ko01110,map00230,map00983,map01100,map01110	M00050	R01130,R08240	RC00143,RC02207	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	iAPECO1_1312.APECO1_4018,iECABU_c1320.ECABU_c28100,iECP_1309.ECP_2510,iECSF_1327.ECSF_2349,iUTI89_1310.UTI89_C2826,ic_1306.c3027	CBS,IMPDH,NMO
158458797-stool1_revised_scaffold34175_2_gene30677	742726.HMPREF9448_02591	1.65e-218	619.0	COG0363,COG2120	976|Bacteroidetes	G	glucosamine-6-phosphate deaminase	nagB	-	3.5.99.6	ko:K02564	ko00520,ko01100,map00520,map01100	-	R00765	RC00163	ko00000,ko00001,ko01000	-	-	-	Glucosamine_iso,PIG-L
158499257-stool2_revised_scaffold35535_1_gene209918	483216.BACEGG_02437	0.0	891.0	COG2871	976|Bacteroidetes	C	NQR complex catalyzes the reduction of ubiquinone-1 to ubiquinol by two successive reactions, coupled with the transport of Na( ) ions from the cytoplasm to the periplasm. The first step is catalyzed by NqrF, which accepts electrons from NADH and reduces ubiquinone-1 to ubisemiquinone by a one-electron transfer pathway	nqrF	-	1.6.5.8	ko:K00351	-	-	-	-	ko00000,ko01000	-	-	-	FAD_binding_6,Fer2,NAD_binding_1
158499257-stool2_revised_scaffold63407_1_gene111170	1235800.C819_03589	3.2e-177	496.0	COG0191	186801|Clostridia	G	Fructose-bisphosphate aldolase class-II	fba	-	4.1.2.13	ko:K01624	ko00010,ko00030,ko00051,ko00680,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01130,map01200,map01230	M00001,M00003,M00165,M00167,M00344,M00345	R01068,R01070,R01829,R02568	RC00438,RC00439,RC00603,RC00604	ko00000,ko00001,ko00002,ko01000	-	-	-	F_bP_aldolase
158802708-stool1_revised_scaffold20802_1_gene152869	1121129.KB903374_gene569	2.57e-232	642.0	COG0050	976|Bacteroidetes	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis	tuf	-	-	ko:K02358	-	-	-	-	ko00000,ko03012,ko03029,ko04147	-	-	-	GTP_EFTU,GTP_EFTU_D2,GTP_EFTU_D3
158802708-stool2_revised_C1043175_1_gene65425	226186.BT_3841	1.69e-310	848.0	COG0544	976|Bacteroidetes	O	peptidyl-prolyl cis-trans isomerase (trigger factor)	tig	-	-	ko:K03545	-	-	-	-	ko00000	-	-	-	Trigger_C,Trigger_N
159369152-stool1_revised_C218669_1_gene6717	585394.RHOM_11885	1.66e-170	479.0	COG1024	186801|Clostridia	I	Belongs to the enoyl-CoA hydratase isomerase family	crt	-	4.2.1.17	ko:K01715	ko00650,ko01200,map00650,map01200	-	R03026	RC00831	ko00000,ko00001,ko01000	-	-	-	ECH_1
159733294-stool1_revised_scaffold3642_1_gene6041	1095770.CAHE01000070_gene943	1.52e-19	105.0	COG4932	186801|Clostridia	M	C-terminus of bacterial fibrinogen-binding adhesin	-	-	-	-	-	-	-	-	-	-	-	-	Gram_pos_anchor,SdrG_C_C
160502038-stool1_revised_C1040582_1_gene113012	428126.CLOSPI_02378	2.6e-216	599.0	COG1088	526524|Erysipelotrichia	M	Belongs to the NAD(P)-dependent epimerase dehydratase family. dTDP-glucose dehydratase subfamily	rfbB	-	-	-	-	-	-	-	-	-	-	-	GDP_Man_Dehyd
195103.CPF_1048	195103.CPF_1048	0.0	1230.0	COG2407	186801|Clostridia	G	Converts the aldose L-fucose into the corresponding ketose L-fuculose	fucI	-	5.3.1.25,5.3.1.3	ko:K01818	ko00051,ko01120,map00051,map01120	-	R03163	RC00434	ko00000,ko00001,ko01000	-	-	-	Fucose_iso_C,Fucose_iso_N1,Fucose_iso_N2
206672.BL1295	216816.GS08_06915	0.0	878.0	COG0141	201174|Actinobacteria	E	Catalyzes the sequential NAD-dependent oxidations of L- histidinol to L-histidinaldehyde and then to L-histidine	hisD	GO:0000105,GO:0003674,GO:0003824,GO:0004399,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006547,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009987,GO:0016053,GO:0016491,GO:0016614,GO:0016616,GO:0018130,GO:0019438,GO:0019752,GO:0030312,GO:0034641,GO:0040007,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0052803,GO:0055114,GO:0071704,GO:0071944,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	1.1.1.23	ko:K00013	ko00340,ko01100,ko01110,ko01230,map00340,map01100,map01110,map01230	M00026	R01158,R01163,R03012	RC00099,RC00242,RC00463	ko00000,ko00001,ko00002,ko01000	-	-	iNJ661.Rv1599	Histidinol_dh
340101.Vvad_PD0976	313628.LNTAR_06169	4.07e-264	738.0	COG0459	2|Bacteria	O	protein refolding	groL	GO:0000166,GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006457,GO:0006458,GO:0006950,GO:0008144,GO:0008150,GO:0009266,GO:0009314,GO:0009405,GO:0009408,GO:0009628,GO:0009966,GO:0009967,GO:0009986,GO:0009987,GO:0010646,GO:0010647,GO:0016032,GO:0016462,GO:0016465,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0018995,GO:0019058,GO:0019068,GO:0020003,GO:0022610,GO:0023051,GO:0023056,GO:0030430,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0033643,GO:0033644,GO:0033646,GO:0033647,GO:0033648,GO:0033655,GO:0035639,GO:0035821,GO:0036094,GO:0042802,GO:0043167,GO:0043168,GO:0043169,GO:0043226,GO:0043227,GO:0043230,GO:0043656,GO:0043657,GO:0043900,GO:0043903,GO:0044174,GO:0044175,GO:0044183,GO:0044215,GO:0044216,GO:0044217,GO:0044218,GO:0044279,GO:0044403,GO:0044406,GO:0044419,GO:0044421,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0044650,GO:0044764,GO:0046812,GO:0046872,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0050789,GO:0050794,GO:0050896,GO:0051082,GO:0051084,GO:0051085,GO:0051704,GO:0051817,GO:0052047,GO:0052212,GO:0061077,GO:0065007,GO:0065010,GO:0097159,GO:0097367,GO:0101031,GO:1901222,GO:1901224,GO:1901265,GO:1901363,GO:1902531,GO:1902533,GO:1990220,GO:2000535	-	ko:K04077	ko03018,ko04212,ko04940,ko05134,ko05152,map03018,map04212,map04940,map05134,map05152	-	-	-	ko00000,ko00001,ko03019,ko03029,ko03110,ko04147	-	-	-	Cpn60_TCP1
391904.BLIJ_1032	216816.GS08_05900	0.0	2031.0	COG0495	201174|Actinobacteria	J	Belongs to the class-I aminoacyl-tRNA synthetase family	leuS	GO:0003674,GO:0003824,GO:0004812,GO:0004823,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006429,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016020,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0030312,GO:0034641,GO:0034645,GO:0034660,GO:0040007,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576	6.1.1.4	ko:K01869	ko00970,map00970	M00359,M00360	R03657	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016,ko03029	-	-	-	Anticodon_1,tRNA-synt_1,tRNA-synt_1_2
411467.BACCAP_01900	411467.BACCAP_01900	0.0	2022.0	COG0457,COG4859	186801|Clostridia	S	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	DUF2185,DUF4253,DUF4259,DUF4261,Imm68,SUFU,SUKH_6,TPR_2
411903.COLAER_00124	742722.HMPREF9463_01454	0.0	1421.0	COG0532	84998|Coriobacteriia	J	One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex	infB	-	-	ko:K02519	-	-	-	-	ko00000,ko03012,ko03029	-	-	-	GTP_EFTU,GTP_EFTU_D2,IF-2,IF2_N
445972.ANACOL_04358	1232443.BAIA02000074_gene432	2.78e-251	689.0	COG0150	186801|Clostridia	F	AIR synthase related protein, N-terminal domain	purM	-	6.3.3.1	ko:K01933	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130	M00048	R04208	RC01100	ko00000,ko00001,ko00002,ko01000	-	-	-	AIRS,AIRS_C
457421.CBFG_05949	457421.CBFG_05949	0.0	1647.0	COG0653	186801|Clostridia	U	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane	secA	-	-	ko:K03070	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko02044	3.A.5.1,3.A.5.10,3.A.5.2,3.A.5.4	-	-	Helicase_C,SEC-C,SecA_DEAD,SecA_PP_bind,SecA_SW
467705.SGO_1968	997830.HMPREF1124_0408	3.47e-104	302.0	COG0098	91061|Bacilli	J	Located at the back of the 30S subunit body where it stabilizes the conformation of the head with respect to the body	rpsE	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0022626,GO:0022627,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02988	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S5,Ribosomal_S5_C
469595.CSAG_00404	500640.CIT292_08218	6.78e-94	274.0	COG0589	1236|Gammaproteobacteria	T	Belongs to the universal stress protein A family	uspG	GO:0003674,GO:0003824,GO:0004017,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006464,GO:0006468,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009123,GO:0009165,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0018117,GO:0018130,GO:0018175,GO:0019205,GO:0019438,GO:0019538,GO:0019637,GO:0032879,GO:0034641,GO:0034654,GO:0036211,GO:0040012,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046483,GO:0046777,GO:0046940,GO:0050145,GO:0050789,GO:0050794,GO:0051270,GO:0055086,GO:0065007,GO:0071704,GO:0090407,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901576,GO:2000145	-	ko:K11932	-	-	-	-	ko00000	-	-	-	Usp
473819.BIFDEN_02183	401473.BDP_1030	0.0	1102.0	COG0504	201174|Actinobacteria	F	Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen. Regulates intracellular CTP levels through interactions with the four ribonucleotide triphosphates	pyrG	GO:0005575,GO:0005623,GO:0005886,GO:0008150,GO:0016020,GO:0040007,GO:0044464,GO:0071944	6.3.4.2	ko:K01937	ko00240,ko01100,map00240,map01100	M00052	R00571,R00573	RC00010,RC00074	ko00000,ko00001,ko00002,ko01000	-	-	iNJ661.Rv1699	CTP_synth_N,GATase
