Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
1028307.EAE_00665	1028307.EAE_00665 [Complete]:-  codon-table.11	1028307.EAE_00665 [Complete]:-  codon-table.11		488		1028307.EAE_00665 [Complete]:-  codon-table.11		12.91	1.0000	0.9990	4	3	3	10	4	4	     0	     0	     0			
158458797-stool1_revised_scaffold34175_2_gene30677	158458797-stool1_revised_scaffold34175_2_gene30677 strand:+  start:1 stop:1077 length:1077 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	158458797-stool1_revised_scaffold34175_2_gene30677 strand:+  start:1 stop:1077 length:1077 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11		358		158458797-stool1_revised_scaffold34175_2_gene30677 strand:+  start:1 stop:1077 length:1077 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11		7.54	1.0000	0.9990	1	1	1	9	9	9	     0	     0	     0			
158499257-stool2_revised_scaffold35535_1_gene209918	158499257-stool2_revised_scaffold35535_1_gene209918 strand:+  start:1 stop:1326 length:1326 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	158499257-stool2_revised_scaffold35535_1_gene209918 strand:+  start:1 stop:1326 length:1326 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11		441		158499257-stool2_revised_scaffold35535_1_gene209918 strand:+  start:1 stop:1326 length:1326 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11		17.23	1.0000	0.9990	6	0	6	7	0	7	     0	     0	     0	2M(15.9949), 4C(57.0214), 4M(15.9949)		
158499257-stool2_revised_scaffold63407_1_gene111170	158499257-stool2_revised_scaffold63407_1_gene111170 strand:-  start:3 stop:815 length:813 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	158499257-stool2_revised_scaffold63407_1_gene111170 strand:-  start:3 stop:815 length:813 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11		271		158499257-stool2_revised_scaffold63407_1_gene111170 strand:-  start:3 stop:815 length:813 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11		19.56	1.0000	0.9990	6	3	4	42	33	40	     0	     0	     0	1M(15.9949), 8M(15.9949)		
158802708-stool1_revised_scaffold20802_1_gene152869	158802708-stool1_revised_scaffold20802_1_gene152869 strand:-  start:2 stop:973 length:972 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	158802708-stool1_revised_scaffold20802_1_gene152869 strand:-  start:2 stop:973 length:972 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11		324		158802708-stool1_revised_scaffold20802_1_gene152869 strand:-  start:2 stop:973 length:972 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11		15.74	1.0000	0.9990	3	1	1	26	14	14	     0	     0	     0	8M(15.9949)		
158802708-stool2_revised_C1043175_1_gene65425	158802708-stool2_revised_C1043175_1_gene65425 strand:+  start:1 stop:1365 length:1365 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	158802708-stool2_revised_C1043175_1_gene65425 strand:+  start:1 stop:1365 length:1365 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11		454		158802708-stool2_revised_C1043175_1_gene65425 strand:+  start:1 stop:1365 length:1365 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11		7.05	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0			
159369152-stool1_revised_C218669_1_gene6717	159369152-stool1_revised_C218669_1_gene6717 strand:+  start:3 stop:848 length:846 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	159369152-stool1_revised_C218669_1_gene6717 strand:+  start:3 stop:848 length:846 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11		281		159369152-stool1_revised_C218669_1_gene6717 strand:+  start:3 stop:848 length:846 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11		19.22	1.0000	0.9990	3	3	3	7	7	7	     0	     0	     0	2M(15.9949), 6C(57.0214), 9M(15.9949)		
159733294-stool1_revised_scaffold3642_1_gene6041	159733294-stool1_revised_scaffold3642_1_gene6041 strand:-  start:67 stop:5538 length:5472 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	159733294-stool1_revised_scaffold3642_1_gene6041 strand:-  start:67 stop:5538 length:5472 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11		1823		159733294-stool1_revised_scaffold3642_1_gene6041 strand:-  start:67 stop:5538 length:5472 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11		1.70	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
160502038-stool1_revised_C1040582_1_gene113012	160502038-stool1_revised_C1040582_1_gene113012 strand:+  start:3 stop:941 length:939 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	160502038-stool1_revised_C1040582_1_gene113012 strand:+  start:3 stop:941 length:939 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11		313		160502038-stool1_revised_C1040582_1_gene113012 strand:+  start:3 stop:941 length:939 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11		14.70	1.0000	0.9971	3	1	2	9	1	4	     0	     0	     0			
195103.CPF_1048	195103.CPF_1048 [Complete]:-  codon-table.11	195103.CPF_1048 [Complete]:-  codon-table.11		597		195103.CPF_1048 [Complete]:-  codon-table.11		3.85	1.0000	0.9990	2	1	2	10	5	10	     0	     0	     0	10M(15.9949), 8M(15.9949)		
