Protein.Group	b14_02	b14_21
1028307.EAE_00665 [Complete]:-  codon-table.11	26062.3	NA
1045856.EcWSU1_02743 [Complete]:-  codon-table.11	169612	NA
158458797-stool1_revised_scaffold34175_2_gene30677 strand:+  start:1 stop:1077 length:1077 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	84586.9	8649.93
158479027-stool1_revised_scaffold8045_1_gene109422 strand:+  start:1211 stop:2671 length:1461 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	15972.4	4407.26
158499257-stool1_revised_C1444234_1_gene215443 strand:+  start:2647 stop:3606 length:960 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	136562	5267.46
158499257-stool1_revised_C1450080_1_gene140943 strand:-  start:2021 stop:4210 length:2190 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	37626.2	NA
158499257-stool2_revised_scaffold35535_1_gene209918 strand:+  start:1 stop:1326 length:1326 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	91988	61525.4
158499257-stool2_revised_scaffold63407_1_gene111170 strand:-  start:3 stop:815 length:813 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	326338	91891.4
158499257-stool2_revised_scaffold9750_2_gene92208 strand:-  start:4342 stop:5466 length:1125 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	143635	3651.35
158802708-stool1_revised_C965053_1_gene16763 strand:-  start:3 stop:404 length:402 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	3514.08	NA
158802708-stool1_revised_C968191_1_gene1204 strand:-  start:1 stop:1314 length:1314 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	20262.4	32184.9
158802708-stool1_revised_scaffold20802_1_gene152869 strand:-  start:2 stop:973 length:972 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	39370.2	37743.5
159207311-stool2_revised_scaffold1962_1_gene150337 strand:+  start:3 stop:347 length:345 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	15914.7	9167.8
159369152-stool1_revised_C218669_1_gene6717 strand:+  start:3 stop:848 length:846 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	32799.4	NA
159632143-stool1_revised_scaffold14390_1_gene87151 strand:+  start:393 stop:1688 length:1296 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	36092	NA
159814214-stool1_revised_C570103_1_gene1164 strand:-  start:24 stop:860 length:837 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	20583.4	4481.08
160400887-stool1_revised_scaffold28677_2_gene32473 strand:+  start:10797 stop:12230 length:1434 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	199726	NA
160502038-stool1_revised_C1040582_1_gene113012 strand:+  start:3 stop:941 length:939 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	76558.9	11597.3
160603188-stool1_revised_C1017314_1_gene151369 strand:+  start:1 stop:2223 length:2223 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	NA	21653.4
195103.CPF_1048 [Complete]:-  codon-table.11	82378.3	376146
206672.BL1295 [Complete]:-  codon-table.11	4894.14	4776.7
226186.BT_3312 [Complete]:-  codon-table.11	NA	8943.13
340101.Vvad_PD0976 [Complete]:-  codon-table.11	19077.2	NA
391904.BLIJ_1032 [Complete]:-  codon-table.11	6767.77	6187.87
411470.RUMGNA_02682 [Complete]:-  codon-table.11	NA	49423.8
445972.ANACOL_04358 [Complete]:-  codon-table.11	24010.8	NA
457421.CBFG_05949 [Complete]:-  codon-table.11	68828	29399.6
467705.SGO_1968 [Complete]:-  codon-table.11	28082.3	21393
469595.CSAG_00404 [Complete]:-  codon-table.11	39644.7	NA
473819.BIFDEN_02183 [Complete]:-  codon-table.11	63055	17544.7
483218.BACPEC_02137 [Complete]:-  codon-table.11	NA	1872.01
500635.MITSMUL_03099 [Complete]:-  codon-table.11	33911.9	NA
508703490-stool1_revised_scaffold22466_1_gene94327 strand:-  start:214 stop:1548 length:1335 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	20627.5	2377.29
553973.CLOHYLEM_06522 [Complete]:-  codon-table.11	6424.39	NA
575611.HMPREF0649_00752 [Complete]:-  codon-table.11	9870.37	NA
585501.HMPREF6123_1051 [Complete]:-  codon-table.11	10838.8	17409.7
591001.Acfer_1512 [Complete]:-  codon-table.11	33293.9	9900.08
638301.HMPREF0444_1482 [Complete]:-  codon-table.11	8269.21	NA
763435843-stool1_revised_scaffold13751_1_gene1966 strand:-  start:1048 stop:2976 length:1929 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	11957	NA
763496533-stool1_revised_scaffold46255_1_gene47264 strand:-  start:265 stop:795 length:531 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	2038.67	NA
763496533-stool2_revised_C1130836_1_gene41026 strand:-  start:1 stop:924 length:924 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	55767.2	53859.7
763577454-stool1_revised_C1011481_1_gene183717 strand:-  start:311 stop:727 length:417 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	46051.1	57701.7
763678604-stool2_revised_C1156166_1_gene163714 strand:-  start:3145 stop:4878 length:1734 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	37031.7	7519.66
763820215-stool1_revised_C751164_1_gene6323 strand:+  start:983 stop:1711 length:729 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	NA	19221.8
763860675-stool1_revised_C1092989_1_gene136767 strand:+  start:471 stop:788 length:318 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	12714.2	7318.08
763860675-stool1_revised_scaffold55788_1_gene56140 strand:-  start:2 stop:1066 length:1065 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	39899.3	NA
763901136-stool1_revised_C1052885_1_gene40766 strand:-  start:538 stop:822 length:285 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	5066.79	NA
763982056-stool2_revised_C356624_1_gene39369 strand:+  start:3 stop:662 length:660 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	65670.1	NA
764042746-stool2_revised_C474634_1_gene25976 strand:+  start:122 stop:427 length:306 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	27451.2	17062.8
764143897-stool1_revised_scaffold24180_1_gene160122 strand:+  start:2 stop:1003 length:1002 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	NA	133367
764184357-stool1_revised_scaffold9152_1_gene56916 strand:-  start:1526 stop:3733 length:2208 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	88563.6	2131.41
764669880-stool1_revised_C437453_1_gene44917 strand:-  start:872 stop:1504 length:633 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	23819.9	5230.17
764669880-stool1_revised_scaffold9976_1_gene9843 strand:-  start:1 stop:1269 length:1269 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	22801.4	NA
764669880-stool2_revised_scaffold12597_1_gene66287 strand:+  start:2 stop:1603 length:1602 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	15322	299232
765640925-stool1_revised_scaffold31945_1_gene3427 strand:+  start:6373 stop:8160 length:1788 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	NA	1250.85
765701615-stool1_revised_C1225298_1_gene174302 strand:-  start:1 stop:507 length:507 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	11377.8	9761.04
765701615-stool1_revised_scaffold47263_3_gene161730 strand:+  start:1184 stop:2356 length:1173 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	45416.5	NA
809635352-stool1_revised_scaffold40418_1_gene11041 strand:-  start:39 stop:215 length:177 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	15230.2	7516.04
DLF003_GL0036465  [gene]  locus=scaffold38582_1:16325:17074:+ [Complete] codon-table.11	38575.1	NA
DLF012_GL0025371  [gene]  locus=scaffold6031_3:80:2257:- [Complete] codon-table.11	7619.75	9514.17
DLM005_GL0056174  [gene]  locus=scaffold34642_5:1017:2879:- [Complete] codon-table.11	18910.5	9502.6
DLM007_GL0041666  [gene]  locus=scaffold45367_1:2677:5331:- [Lack 5'-end] codon-table.11	8608.9	51664.7
DLM013_GL0037970  [gene]  locus=scaffold10749_9:3302:5011:+ [Complete] codon-table.11	14215.5	NA
DLM018_GL0012508  [gene]  locus=scaffold3733_2:972:2219:+ [Complete] codon-table.11	441839	4465.28
DLM019_GL0031527  [gene]  locus=scaffold54244_3:2:925:- [Lack both ends] codon-table.11	NA	5573.43
DLM019_GL0082439  [gene]  locus=scaffold315_1:918:2042:+ [Complete] codon-table.11	NA	4229.09
DLM028_GL0028479  [gene]  locus=scaffold20071_11:2762:3109:- [Complete] codon-table.11	12533.7	NA
DOF004_GL0058872  [gene]  locus=scaffold49544_1:1:570:+ [Lack both ends] codon-table.11	9369.11	NA
DOF010_GL0010114  [gene]  locus=scaffold25322_5:1:1146:+ [Lack 5'-end] codon-table.11	20965.4	7145.39
DOM001_GL0092950  [gene]  locus=scaffold34794_8:3510:4757:+ [Complete] codon-table.11	8050.77	NA
DOM005_GL0004772  [gene]  locus=scaffold91_6:21891:22553:+ [Complete] codon-table.11	NA	1633.42
DOM005_GL0023957  [gene]  locus=scaffold12453_6:835:1902:- [Complete] codon-table.11	15279.5	18170.9
DOM005_GL0025443  [gene]  locus=scaffold37_7:31881:33218:- [Complete] codon-table.11	11572.3	34783.5
DOM005_GL0032002  [gene]  locus=scaffold37_1:2961:4859:+ [Complete] codon-table.11	18371.1	17378.5
DOM005_GL0053327  [gene]  locus=scaffold12590_2:58532:59959:+ [Complete] codon-table.11	NA	5778.51
DOM012_GL0021177  [gene]  locus=scaffold10320_21:1963:3039:+ [Complete] codon-table.11	14481	NA
DOM012_GL0033406  [gene]  locus=scaffold36877_2:1:474:- [Lack 3'-end] codon-table.11	282498	NA
DOM026_GL0034732  [gene]  locus=scaffold26149_7:3:974:+ [Lack 5'-end] codon-table.11	126562	20730.9
ED12A_GL0087188  [gene]  locus=scaffold16704_2:1702:3696:- [Lack 5'-end] codon-table.11	6276.95	NA
ED13A_GL0021636  [gene]  locus=scaffold1322_2:1:555:- [Lack 3'-end] codon-table.11	89587.8	14010.3
ED15A_GL0082445  [gene]  locus=scaffold12893_1:12785:13981:- [Complete] codon-table.11	44563.8	11621
Fungitr.A0A0H5C9W2.A0A0H5C9W2_CYBJA ATP synthase subunit alpha OS=Cyberlindnera jadinii GN=atp1 PE=3 SV=1	47740.8	23973
Fungitr.E7NKC5.E7NKC5_YEASO Ubi4p (Fragment) OS=Saccharomyces cerevisiae (strain FostersO) GN=FOSTERSO_3014 PE=4 SV=1	34367.6	46751.2
HM403CO_revised_scaffold142_2_gene34425 strand:+ start:8041 stop:9432 length:1392 start_codon:yes stop_codon:yes gene_type:complete	58527.1	31257.7
HM403CO_revised_scaffold3899_2_gene43346 strand:+ start:26519 stop:27742 length:1224 start_codon:yes stop_codon:yes gene_type:complete	164836	9194.38
HM414CO_combine_revised_scaffold52574_1_gene54100 strand:+ start:3 stop:368 length:366 start_codon:no stop_codon:yes gene_type:incomplete	NA	16745.7
HM415TI_revised_scaffold27291_1_gene77074 strand:+ start:2 stop:583 length:582 start_codon:no stop_codon:no gene_type:incomplete	NA	7985.55
HM437CO_revised_scaffold23842_1_gene88996 strand:+ start:5906 stop:7864 length:1959 start_codon:yes stop_codon:yes gene_type:complete	22852.8	NA
HM437CO_revised_scaffold36926_1_gene1102 strand:+ start:2 stop:583 length:582 start_codon:no stop_codon:no gene_type:incomplete	18087.3	6145.8
HM438CO_revised_scaffold45904_1_gene74669 strand:+ start:2 stop:520 length:519 start_codon:no stop_codon:no gene_type:incomplete	887534	20076.6
HM466CO_revised_scaffold71503_1_gene21138 strand:+ start:1 stop:1050 length:1050 start_codon:no stop_codon:yes gene_type:incomplete	39758.2	NA
HM494TI_revised_C961297_1_gene41203 strand:+ start:307 stop:522 length:216 start_codon:yes stop_codon:no gene_type:incomplete	149882	10642
HM494TI_revised_scaffold22508_12_gene231958 strand:+ start:2 stop:1507 length:1506 start_codon:no stop_codon:yes gene_type:incomplete	NA	6837.85
HM494TI_revised_scaffold67459_1_gene54744 strand:- start:46703 stop:47572 length:870 start_codon:yes stop_codon:yes gene_type:complete	NA	2612.89
HM494TI_revised_scaffold75696_1_gene174760 strand:+ start:1 stop:648 length:648 start_codon:no stop_codon:yes gene_type:incomplete	NA	6958.15
HT14A_GL0085213  [gene]  locus=scaffold26776_1:2:367:+ [Lack 5'-end] codon-table.11	22258.4	11423.5
HT14A_GL0104544  [gene]  locus=scaffold8377_7:1:2925:+ [Lack both ends] codon-table.11	38034.9	NA
HT14A_GL0106378  [gene]  locus=scaffold24973_3:20944:21483:- [Complete] codon-table.11	45530.7	188425
HT14A_GL0126877  [gene]  locus=scaffold30044_2:2:565:- [Lack both ends] codon-table.11	NA	4745.74
HT8A_GL0051954  [gene]  locus=scaffold34690_1:16107:16964:- [Complete] codon-table.11	13962.6	NA
Human_swiss_sp|A0A0A0MS15|HV349_HUMAN Immunoglobulin heavy variable 3-49 OS=Homo sapiens OX=9606 GN=IGHV3-49 PE=3 SV=1	32484	87079
Human_swiss_sp|A0A0B4J1V0|HV315_HUMAN Immunoglobulin heavy variable 3-15 OS=Homo sapiens OX=9606 GN=IGHV3-15 PE=3 SV=1	14430	24864.5
Human_swiss_sp|A0A0B4J1X5|HV374_HUMAN Immunoglobulin heavy variable 3-74 OS=Homo sapiens OX=9606 GN=IGHV3-74 PE=3 SV=1	6535.58	7149.92
Human_swiss_sp|A0A0B4J1Y9|HV372_HUMAN Immunoglobulin heavy variable 3-72 OS=Homo sapiens OX=9606 GN=IGHV3-72 PE=3 SV=1	NA	802629
Human_swiss_sp|A0A0C4DH25|KVD20_HUMAN Immunoglobulin kappa variable 3D-20 OS=Homo sapiens OX=9606 GN=IGKV3D-20 PE=3 SV=1	120900	265133
Human_swiss_sp|A0A0C4DH32|HV320_HUMAN Immunoglobulin heavy variable 3-20 OS=Homo sapiens OX=9606 GN=IGHV3-20 PE=3 SV=2	NA	27650.1
Human_swiss_sp|A8K7I4|CLCA1_HUMAN Calcium-activated chloride channel regulator 1 OS=Homo sapiens OX=9606 GN=CLCA1 PE=1 SV=3	225551	1.57471e+06
Human_swiss_sp|O00754|MA2B1_HUMAN Lysosomal alpha-mannosidase OS=Homo sapiens OX=9606 GN=MAN2B1 PE=1 SV=3	18532.3	11982.1
Human_swiss_sp|O14493|CLD4_HUMAN Claudin-4 OS=Homo sapiens OX=9606 GN=CLDN4 PE=1 SV=1	20178.5	41700.1
Human_swiss_sp|O14638|ENPP3_HUMAN Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 OS=Homo sapiens OX=9606 GN=ENPP3 PE=1 SV=2	19551.9	24113.2
Human_swiss_sp|O14773|TPP1_HUMAN Tripeptidyl-peptidase 1 OS=Homo sapiens OX=9606 GN=TPP1 PE=1 SV=2	6327.88	3745.24
Human_swiss_sp|O15162|PLS1_HUMAN Phospholipid scramblase 1 OS=Homo sapiens OX=9606 GN=PLSCR1 PE=1 SV=1	5353.55	5050.59
Human_swiss_sp|O15260|SURF4_HUMAN Surfeit locus protein 4 OS=Homo sapiens OX=9606 GN=SURF4 PE=1 SV=3	13189.3	8359.06
Human_swiss_sp|O15393|TMPS2_HUMAN Transmembrane protease serine 2 OS=Homo sapiens OX=9606 GN=TMPRSS2 PE=1 SV=3	6052.02	5135.68
Human_swiss_sp|O15484|CAN5_HUMAN Calpain-5 OS=Homo sapiens OX=9606 GN=CAPN5 PE=1 SV=2	12997.7	12296.1
Human_swiss_sp|O15496|PA2GX_HUMAN Group 10 secretory phospholipase A2 OS=Homo sapiens OX=9606 GN=PLA2G10 PE=1 SV=3	5844.08	3027.35
Human_swiss_sp|O43149|ZZEF1_HUMAN Zinc finger ZZ-type and EF-hand domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ZZEF1 PE=1 SV=6	8509.2	4316.76
Human_swiss_sp|O43451|MGA_HUMAN Maltase-glucoamylase, intestinal OS=Homo sapiens OX=9606 GN=MGAM PE=1 SV=5	230694	134547
Human_swiss_sp|O43653|PSCA_HUMAN Prostate stem cell antigen OS=Homo sapiens OX=9606 GN=PSCA PE=1 SV=2	2455.51	NA
Human_swiss_sp|O43895|XPP2_HUMAN Xaa-Pro aminopeptidase 2 OS=Homo sapiens OX=9606 GN=XPNPEP2 PE=1 SV=3	412728	1.87029e+06
Human_swiss_sp|O60814|H2B1K_HUMAN Histone H2B type 1-K OS=Homo sapiens OX=9606 GN=H2BC12 PE=1 SV=3	12034.9	2980.94
Human_swiss_sp|O60844|ZG16_HUMAN Zymogen granule membrane protein 16 OS=Homo sapiens OX=9606 GN=ZG16 PE=1 SV=2	987102	562017
Human_swiss_sp|O75112|LDB3_HUMAN LIM domain-binding protein 3 OS=Homo sapiens OX=9606 GN=LDB3 PE=1 SV=2	10105.8	14720.1
Human_swiss_sp|O75131|CPNE3_HUMAN Copine-3 OS=Homo sapiens OX=9606 GN=CPNE3 PE=1 SV=1	NA	7744.89
Human_swiss_sp|O75306|NDUS2_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS2 PE=1 SV=2	NA	2099.42
Human_swiss_sp|O75340|PDCD6_HUMAN Programmed cell death protein 6 OS=Homo sapiens OX=9606 GN=PDCD6 PE=1 SV=1	NA	16352.4
Human_swiss_sp|O75830|SPI2_HUMAN Serpin I2 OS=Homo sapiens OX=9606 GN=SERPINI2 PE=1 SV=1	NA	5011.41
Human_swiss_sp|O75874|IDHC_HUMAN Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens OX=9606 GN=IDH1 PE=1 SV=2	NA	766.868
Human_swiss_sp|O75882|ATRN_HUMAN Attractin OS=Homo sapiens OX=9606 GN=ATRN PE=1 SV=2	10399.9	7405.64
Human_swiss_sp|O95471|CLD7_HUMAN Claudin-7 OS=Homo sapiens OX=9606 GN=CLDN7 PE=1 SV=4	8305.07	13217.3
Human_swiss_sp|O95497|VNN1_HUMAN Pantetheinase OS=Homo sapiens OX=9606 GN=VNN1 PE=1 SV=2	28095.8	70315.8
Human_swiss_sp|P00338|LDHA_HUMAN L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2	NA	2664.47
Human_swiss_sp|P00441|SODC_HUMAN Superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD1 PE=1 SV=2	NA	10156
Human_swiss_sp|P00738|HPT_HUMAN Haptoglobin OS=Homo sapiens OX=9606 GN=HP PE=1 SV=1	7126.73	NA
Human_swiss_sp|P00813|ADA_HUMAN Adenosine deaminase OS=Homo sapiens OX=9606 GN=ADA PE=1 SV=3	34431.1	24628.1
Human_swiss_sp|P01008|ANT3_HUMAN Antithrombin-III OS=Homo sapiens OX=9606 GN=SERPINC1 PE=1 SV=1	48110.6	25834.3
Human_swiss_sp|P01009|A1AT_HUMAN Alpha-1-antitrypsin OS=Homo sapiens OX=9606 GN=SERPINA1 PE=1 SV=3	283504	196222
Human_swiss_sp|P01023|A2MG_HUMAN Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3	7678.38	6871.37
Human_swiss_sp|P01591|IGJ_HUMAN Immunoglobulin J chain OS=Homo sapiens OX=9606 GN=JCHAIN PE=1 SV=4	888757	1.57675e+06
Human_swiss_sp|P01700|LV147_HUMAN Immunoglobulin lambda variable 1-47 OS=Homo sapiens OX=9606 GN=IGLV1-47 PE=1 SV=2	209880	460516
Human_swiss_sp|P01764|HV323_HUMAN Immunoglobulin heavy variable 3-23 OS=Homo sapiens OX=9606 GN=IGHV3-23 PE=1 SV=2	146275	672759
Human_swiss_sp|P01782|HV309_HUMAN Immunoglobulin heavy variable 3-9 OS=Homo sapiens OX=9606 GN=IGHV3-9 PE=1 SV=2	NA	23782.2
Human_swiss_sp|P01833|PIGR_HUMAN Polymeric immunoglobulin receptor OS=Homo sapiens OX=9606 GN=PIGR PE=1 SV=4	949499	1.91029e+06
Human_swiss_sp|P01834|IGKC_HUMAN Immunoglobulin kappa constant OS=Homo sapiens OX=9606 GN=IGKC PE=1 SV=2	2.91536e+06	5.59867e+06
Human_swiss_sp|P01857|IGHG1_HUMAN Immunoglobulin heavy constant gamma 1 OS=Homo sapiens OX=9606 GN=IGHG1 PE=1 SV=1	51975.1	58935.2
Human_swiss_sp|P01871|IGHM_HUMAN Immunoglobulin heavy constant mu OS=Homo sapiens OX=9606 GN=IGHM PE=1 SV=4	18301.2	467768
Human_swiss_sp|P01876|IGHA1_HUMAN Immunoglobulin heavy constant alpha 1 OS=Homo sapiens OX=9606 GN=IGHA1 PE=1 SV=2	3.85165e+06	1.00667e+07
Human_swiss_sp|P01903|DRA_HUMAN HLA class II histocompatibility antigen, DR alpha chain OS=Homo sapiens OX=9606 GN=HLA-DRA PE=1 SV=2	20027.2	15542.4
Human_swiss_sp|P02458|CO2A1_HUMAN Collagen alpha-1(II) chain OS=Homo sapiens OX=9606 GN=COL2A1 PE=1 SV=3	24750.8	NA
Human_swiss_sp|P02647|APOA1_HUMAN Apolipoprotein A-I OS=Homo sapiens OX=9606 GN=APOA1 PE=1 SV=1	NA	7549.47
Human_swiss_sp|P02766|TTHY_HUMAN Transthyretin OS=Homo sapiens OX=9606 GN=TTR PE=1 SV=1	36126	22494.5
Human_swiss_sp|P02768|ALBU_HUMAN Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2	203390	78738.7
Human_swiss_sp|P02788|TRFL_HUMAN Lactotransferrin OS=Homo sapiens OX=9606 GN=LTF PE=1 SV=6	87459.9	25276.5
Human_swiss_sp|P02792|FRIL_HUMAN Ferritin light chain OS=Homo sapiens OX=9606 GN=FTL PE=1 SV=2	30261.4	11918.8
Human_swiss_sp|P02794|FRIH_HUMAN Ferritin heavy chain OS=Homo sapiens OX=9606 GN=FTH1 PE=1 SV=2	231946	30008.9
Human_swiss_sp|P04054|PA21B_HUMAN Phospholipase A2 OS=Homo sapiens OX=9606 GN=PLA2G1B PE=1 SV=3	527613	663785
Human_swiss_sp|P04075|ALDOA_HUMAN Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2	10215.7	5250.53
Human_swiss_sp|P04083|ANXA1_HUMAN Annexin A1 OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=2	12594.9	184568
Human_swiss_sp|P04264|K2C1_HUMAN Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6	19333	16673
Human_swiss_sp|P04406|G3P_HUMAN Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3	389688	232519
