Protein.Group	F3NL2582	F3NL0496	F3NL1002	F2NL4627	F2NL2504
1028307.EAE_00665 [Complete]:-  codon-table.11	NA	26062.3	NA	NA	NA
1045856.EcWSU1_02743 [Complete]:-  codon-table.11	NA	169612	NA	NA	NA
158458797-stool1_revised_scaffold34175_2_gene30677 strand:+  start:1 stop:1077 length:1077 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	42713.8	84586.9	5461.3	28463.2	8649.93
158479027-stool1_revised_scaffold8045_1_gene109422 strand:+  start:1211 stop:2671 length:1461 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	14456.1	15972.4	NA	13762.7	4407.26
158499257-stool1_revised_C1444234_1_gene215443 strand:+  start:2647 stop:3606 length:960 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	87113.9	136562	35596.8	87202.5	5267.46
158499257-stool1_revised_C1450080_1_gene140943 strand:-  start:2021 stop:4210 length:2190 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	12442.5	37626.2	NA	NA	NA
158499257-stool2_revised_scaffold35535_1_gene209918 strand:+  start:1 stop:1326 length:1326 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	102383	91988	57031.3	96672	61525.4
158499257-stool2_revised_scaffold63407_1_gene111170 strand:-  start:3 stop:815 length:813 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	413033	326338	374159	371938	91891.4
158499257-stool2_revised_scaffold71908_2_gene145395 strand:+  start:1 stop:1185 length:1185 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	19473.6	NA	NA	NA	NA
158499257-stool2_revised_scaffold9750_2_gene92208 strand:-  start:4342 stop:5466 length:1125 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	NA	143635	22922.8	62015.1	3651.35
158802708-stool1_revised_C965053_1_gene16763 strand:-  start:3 stop:404 length:402 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	4341.34	3514.08	NA	NA	NA
158802708-stool1_revised_C968191_1_gene1204 strand:-  start:1 stop:1314 length:1314 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	46630.4	20262.4	11548.9	23466.4	32184.9
158802708-stool1_revised_scaffold20802_1_gene152869 strand:-  start:2 stop:973 length:972 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	182143	39370.2	410980	274999	37743.5
158944319-stool1_revised_C1050747_1_gene52747 strand:+  start:2 stop:1078 length:1077 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	NA	NA	7753.02	NA	NA
159207311-stool2_revised_scaffold1962_1_gene150337 strand:+  start:3 stop:347 length:345 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	45225.1	15914.7	17189.9	31629.4	9167.8
159369152-stool1_revised_C218669_1_gene6717 strand:+  start:3 stop:848 length:846 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	10673.2	32799.4	10390.9	12274.7	NA
159632143-stool1_revised_scaffold14390_1_gene87151 strand:+  start:393 stop:1688 length:1296 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	26871.7	36092	NA	27406.4	NA
159814214-stool1_revised_C570103_1_gene1164 strand:-  start:24 stop:860 length:837 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	9648.46	20583.4	12329.2	12520.2	4481.08
160400887-stool1_revised_scaffold28677_2_gene32473 strand:+  start:10797 stop:12230 length:1434 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	107858	199726	35490.4	93562.8	NA
160502038-stool1_revised_C1040582_1_gene113012 strand:+  start:3 stop:941 length:939 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	9963.9	76558.9	17567.4	20358.7	11597.3
160603188-stool1_revised_C1017314_1_gene151369 strand:+  start:1 stop:2223 length:2223 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	19379.6	NA	18824.1	NA	21653.4
160704339-stool1_revised_C1363641_1_gene142089 strand:+  start:3 stop:1241 length:1239 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	17901.8	NA	20205.1	NA	NA
195103.CPF_1048 [Complete]:-  codon-table.11	321830	82378.3	584784	425663	376146
206672.BL1295 [Complete]:-  codon-table.11	NA	4894.14	NA	NA	4776.7
226186.BT_3312 [Complete]:-  codon-table.11	NA	NA	NA	NA	8943.13
340101.Vvad_PD0976 [Complete]:-  codon-table.11	11848.3	19077.2	10347	34576.2	NA
391904.BLIJ_1032 [Complete]:-  codon-table.11	NA	6767.77	5332.57	NA	6187.87
411467.BACCAP_01900 [Complete]:-  codon-table.11	17867.5	NA	11144	NA	NA
411467.BACCAP_02296 [Complete]:-  codon-table.11	NA	NA	NA	10463.4	NA
411470.RUMGNA_02682 [Complete]:-  codon-table.11	25075.3	NA	28210.3	16510.9	49423.8
435842.HMPREF0848_00803 [Complete]:-  codon-table.11	NA	NA	NA	25343.4	NA
445972.ANACOL_04358 [Complete]:-  codon-table.11	20266.8	24010.8	33971.5	50726.1	NA
457421.CBFG_02424 [Complete]:-  codon-table.11	12642.3	NA	NA	NA	NA
457421.CBFG_05949 [Complete]:-  codon-table.11	104539	68828	77450.7	92188.4	29399.6
467705.SGO_1968 [Complete]:-  codon-table.11	50404.2	28082.3	23103.6	483069	21393
469595.CSAG_00404 [Complete]:-  codon-table.11	NA	39644.7	NA	NA	NA
473819.BIFDEN_02183 [Complete]:-  codon-table.11	NA	63055	23727.9	25287.2	17544.7
483218.BACPEC_02137 [Complete]:-  codon-table.11	NA	NA	NA	4623.81	1872.01
500635.MITSMUL_03099 [Complete]:-  codon-table.11	29686.8	33911.9	18967.3	17514.7	NA
508703490-stool1_revised_scaffold22466_1_gene94327 strand:-  start:214 stop:1548 length:1335 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	30857.5	20627.5	32145.2	31550	2377.29
553973.CLOHYLEM_06522 [Complete]:-  codon-table.11	5753.57	6424.39	5172.74	7772.49	NA
556261.HMPREF0240_01134 [Complete]:-  codon-table.11	NA	NA	14670.4	NA	NA
575611.HMPREF0649_00752 [Complete]:-  codon-table.11	8209.4	9870.37	NA	6185.24	NA
575611.HMPREF0649_01290 [Complete]:-  codon-table.11	4935.37	NA	NA	3431.99	NA
585501.HMPREF6123_1051 [Complete]:-  codon-table.11	35460.1	10838.8	76785	44140.6	17409.7
591001.Acfer_1512 [Complete]:-  codon-table.11	25139.1	33293.9	NA	18642.2	9900.08
638301.HMPREF0444_1482 [Complete]:-  codon-table.11	16961.3	8269.21	16229.9	14876.4	NA
667015.Bacsa_0163 [Complete]:-  codon-table.11	22248.5	NA	10078.4	NA	NA
709991.Odosp_2868 [Complete]:-  codon-table.11	18122.4	NA	7864.55	16900.8	NA
763435843-stool1_revised_scaffold13751_1_gene1966 strand:-  start:1048 stop:2976 length:1929 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	33870.2	11957	NA	12540.2	NA
763496533-stool1_revised_scaffold46255_1_gene47264 strand:-  start:265 stop:795 length:531 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	2266.45	2038.67	NA	3570.74	NA
763496533-stool2_revised_C1130836_1_gene41026 strand:-  start:1 stop:924 length:924 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	152567	55767.2	231017	111677	53859.7
763577454-stool1_revised_C1011481_1_gene183717 strand:-  start:311 stop:727 length:417 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	178019	46051.1	347719	164807	57701.7
763678604-stool2_revised_C1156166_1_gene163714 strand:-  start:3145 stop:4878 length:1734 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	22965.9	37031.7	26963.5	23621.5	7519.66
763820215-stool1_revised_C751164_1_gene6323 strand:+  start:983 stop:1711 length:729 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	6410.81	NA	15995.7	20345.1	19221.8
763860675-stool1_revised_C1092989_1_gene136767 strand:+  start:471 stop:788 length:318 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	42888.1	12714.2	68755.2	29624.4	7318.08
763860675-stool1_revised_scaffold55788_1_gene56140 strand:-  start:2 stop:1066 length:1065 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	36110.1	39899.3	20678.5	36984.6	NA
763860675-stool1_revised_scaffold59412_1_gene91082 strand:-  start:1518 stop:2303 length:786 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	5691.68	NA	2712.71	4248.64	NA
763901136-stool1_revised_C1052885_1_gene40766 strand:-  start:538 stop:822 length:285 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	32909.8	5066.79	53658.2	35443.8	NA
763901136-stool1_revised_scaffold7024_1_gene95821 strand:-  start:3 stop:1289 length:1287 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	14388.9	NA	NA	14385.8	NA
