ProteinGroup	KEGGNumber	SecondOrganisms	ThirdOrganisms	GenusNCBI	KEGGGene	KEGGScore
1028307.EAE_00665	K00088	Bacteria	Enterobacteria	Raoultella	ror:RORB6_00385	880.552
158458797-stool1_revised_scaffold34175_2_gene30677	K02564	Bacteria	Bacteroidota	Paramuribaculum	pii:NF347_01440	624.78
158499257-stool2_revised_scaffold35535_1_gene209918	K00351	Bacteria	Bacteroidota	Bacteroides	bth:BT_1155	797.349
158499257-stool2_revised_scaffold63407_1_gene111170	K01624	Bacteria	Clostridia	Simiaoa	ssun:H9Q77_01085	509.99
158802708-stool1_revised_scaffold20802_1_gene152869	K02358	Bacteria	Bacteroidota	Butyricimonas	buy:D8S85_09775	618.231
158802708-stool2_revised_C1043175_1_gene65425	K03545	Bacteria	Bacteroidota	Bacteroides	bth:BT_3841	866.685
159369152-stool1_revised_C218669_1_gene6717	K01715	Bacteria	Clostridia	Agathobacter	ere:EUBREC_1017	515.383
159733294-stool1_revised_scaffold3642_1_gene6041		Bacteria	Clostridia	Proteiniclasticum	proq:P6M73_02010	332.413
160502038-stool1_revised_C1040582_1_gene113012	K01710	Bacteria	Other Bacillota	Faecalibacillus	fit:Fi14EGH31_01740	587.8
195103.CPF_1048	K01818	Bacteria	Clostridia	Paraclostridium	psor:RSJ16_09025	1149.42
206672.BL1295	K00013	Bacteria	Actinomycetota	Bifidobacterium	blo:BL1295	895.575
340101.Vvad_PD0976	K04077	Bacteria	Other PVC group	(no genus)	vbc:C5Q97_07425	916.376
391904.BLIJ_1032	K01869	Bacteria	Actinomycetota	Bifidobacterium	blo:BL1450	2003.41
411467.BACCAP_01900		Bacteria	Clostridia	Anaerotruncus	acol:K5I23_02540	1810.04
411903.COLAER_00124	K02519	Bacteria	Actinomycetota	Collinsella	caer:CSV91_02240	1400.19
445972.ANACOL_04358	K01933	Bacteria	Clostridia	Anaerotruncus	acol:K5I23_14370	675.241
457421.CBFG_05949	K03070	Bacteria	Clostridia	Enterocloster	cbol:CGC65_25880	1593.56
467705.SGO_1968	K02988	Bacteria	Bacilli	Streptococcus	spy:SPy_0069	283.878
469595.CSAG_00404	K11932	Bacteria	Enterobacteria	Salmonella	sty:STY0662	265.388
473819.BIFDEN_02183	K01937	Bacteria	Actinomycetota	Bifidobacterium	blo:BL0874	1058.9
553973.CLOHYLEM_06522	K01756	Bacteria	Clostridia	Dorea	dlo:K5I24_02405	842.417
763435843-stool1_revised_scaffold13751_1_gene1966	K11085	Bacteria	Bacteroidota	Segatella	pcoi:LK433_02750	1173.3
763496533-stool2_revised_C1130836_1_gene41026	K00008	Bacteria	Clostridia	Anaerocolumna	anr:Ana3638_14580	513.842
763597684-stool1_revised_scaffold65274_2_gene44004	K01847	Bacteria	Other Bacillota	Selenomonas	ssg:Selsp_0915	335.88
763820215-stool1_revised_C751164_1_gene6323	K02906	Bacteria	Other Bacillota	Faecalibacillus	fit:Fi14EGH31_04720	419.468
763860675-stool1_revised_scaffold59412_1_gene91082	K03521	Bacteria	Clostridia	Emergencia	etm:CE91St48_30840	431.024
763901136-stool1_revised_C1052885_1_gene40766	K10672	Bacteria	Clostridia	Coprococcus	ccom:I6K69_02940	162.925
764042746-stool2_revised_C474634_1_gene25976	K02946	Bacteria	Bacteroidota	Aureibaculum	fbe:FF125_17095	190.274
764062976-stool1_revised_scaffold25359_1_gene47430	K01933	Bacteria	Actinomycetota	Collinsella	caer:CSV91_07850	701.049
764143897-stool1_revised_C800416_1_gene139564	K01952	Bacteria	Clostridia	Christensenella	cmiu:B1H56_11520	329.331
764143897-stool1_revised_scaffold24180_1_gene160122	K02358	Bacteria	Clostridia	Qiania	qdo:H9Q78_06280	611.683
764143897-stool1_revised_scaffold27221_1_gene93111		Bacteria	Clostridia	Anaerobutyricum	ehl:EHLA_2541	1026.54
765701615-stool1_revised_C1225298_1_gene174302	K01006	Bacteria	Clostridia	Mediterraneibacter	rto:RTO_08070	328.561
765701615-stool1_revised_C1367528_1_gene217883	K02406	Bacteria	Clostridia	Pseudobutyrivibrio	pxv:FXF36_03535	334.339
765701615-stool1_revised_scaffold47263_3_gene161730	K00248	Bacteria	Clostridia	Pusillibacter	pfaa:MM59RIKEN_32600	607.06
809635352-stool1_revised_scaffold40418_1_gene11041	K02970	Bacteria	Clostridia	Anaerotruncus	acol:K5I23_00370	83.5741
888833.HMPREF9961_1305		Bacteria	Bacilli	Abiotrophia	adc:FOC79_07735	2048.86
BGI-33A_GL0071332	K01889	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_2237	513.072
DLF003_GL0036465	K09810	Bacteria	Bacteroidota	Segatella	pcoi:LK433_05280	430.254
DLF012_GL0025371	K15533	Bacteria	Clostridia	Mediterraneibacter	rgn:RGna_06805	977.237
DLM003_GL0001559	K18118	Bacteria	Other Bacillota	Phascolarctobacterium	pfac:PFJ30894_00905	375.941
DLM005_GL0056174	K04043	Bacteria	Other Bacillota	Megasphaera	med:MELS_1453	1093.57
DLM007_GL0041666		Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_1286	914.835
DLM013_GL0037970	K01881	Bacteria	Actinomycetota	Collinsella	caer:CSV91_03410	1139.79
DLM018_GL0012508	K02358	Bacteria	Actinomycetota	Olsenella	ols:Olsu_1629	772.696
DLM019_GL0082439	K03286	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_4065	462.611
DOM005_GL0004772	K03612	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_3887	283.878
DOM005_GL0023957	K00831	Bacteria	Bacteroidota	Bacteroides	bth:BT_1153	678.322
DOM005_GL0032002	K01847	Bacteria	Bacteroidota	Bacteroides	bth:BT_2091	1126.69
DOM005_GL0053327	K26113	Bacteria	Clostridia	(no genus)	bprs:CK3_30750	811.601
DOM012_GL0021177	K00134	Bacteria	Clostridia	(no genus)	esr:ES1_19200	542.347
DOM012_GL0033406		Bacteria	Other Bacillota	Selenomonas	ssg:Selsp_0548	286.189
DOM026_GL0034732	K02358	Bacteria	Other Bacillota	(no genus)	ehn:H9Q80_08615	649.818
ED13A_GL0021636	K02886	Bacteria	Bacteroidota	Paraprevotella	pclr:PC1C4_02460	356.681
