Protein.Group	b14_27	b14_01	b14_02	b14_10	b14_20	b14_21	b14_24
1028307.EAE_00665 [Complete]:-  codon-table.11	11196.8	NA	26062.3	NA	NA	NA	NA
1045856.EcWSU1_02743 [Complete]:-  codon-table.11	NA	NA	169612	NA	NA	NA	22992.2
158458797-stool1_revised_scaffold34175_2_gene30677 strand:+  start:1 stop:1077 length:1077 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	18034.8	42713.8	84586.9	5461.3	28463.2	8649.93	11661.1
158479027-stool1_revised_scaffold8045_1_gene109422 strand:+  start:1211 stop:2671 length:1461 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	NA	14456.1	15972.4	NA	13762.7	4407.26	NA
158499257-stool1_revised_C1444234_1_gene215443 strand:+  start:2647 stop:3606 length:960 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	87668.2	87113.9	136562	35596.8	87202.5	5267.46	26907.9
158499257-stool1_revised_C1450080_1_gene140943 strand:-  start:2021 stop:4210 length:2190 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	11134.8	12442.5	37626.2	NA	NA	NA	NA
158499257-stool2_revised_scaffold35535_1_gene209918 strand:+  start:1 stop:1326 length:1326 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	104563	102383	91988	57031.3	96672	61525.4	104108
158499257-stool2_revised_scaffold63407_1_gene111170 strand:-  start:3 stop:815 length:813 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	342610	413033	326338	374159	371938	91891.4	368182
158499257-stool2_revised_scaffold71908_2_gene145395 strand:+  start:1 stop:1185 length:1185 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	NA	19473.6	NA	NA	NA	NA	11532.2
158499257-stool2_revised_scaffold9750_2_gene92208 strand:-  start:4342 stop:5466 length:1125 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	62357.8	NA	143635	22922.8	62015.1	3651.35	18753.1
